ip_address,domain
193.164.18.246,sip.telekom.gov.tj
62.122.137.5,tnmac.gov.tj
79.170.188.73,mewr.gov.tj
79.170.188.73,mewr.gov.tj
37.98.153.146,eprocurement.gov.tj
37.98.153.146,eprocurement.gov.tj
37.98.153.146,webinar.elearning.eprocurement.gov.tj
37.98.153.146,zakupki.gov.tj
37.98.153.146,www.zakupki.gov.tj
37.98.153.146,zakupki.gov.tj
37.98.153.148,eprocurement.gov.tj
37.98.153.148,www.eprocurement.gov.tj
37.98.153.148,eprocurement.gov.tj
37.98.153.148,wiki.eprocurement.gov.tj
37.98.153.148,www.eprocurement.gov.tj
37.98.153.148,portal.zakupki.gov.tj
217.11.180.39,mail.visa.gov.tj
91.214.70.204,sip.telekom.gov.tj
91.218.160.26,cs.gov.tj
91.218.160.26,www.cs.gov.tj
91.218.160.26,www.cs.gov.tj
91.218.160.26,cs.gov.tj
91.218.161.210,zakhira.president.tj
91.218.161.210,zakhira.president.tj
91.218.161.210,zakhira.president.tj
91.218.162.37,post.cs.gov.tj
91.218.162.37,www.post.cs.gov.tj
91.218.162.70,controlpanel.president.tj
91.218.162.70,president.tj
91.218.162.70,web.president.tj
91.218.162.70,www.president.tj
91.218.162.70,controlpanel.president.tj
91.218.162.70,president.tj
91.218.162.70,web.president.tj
91.218.162.70,controlpanel.president.tj
91.218.162.70,www.president.tj
91.218.162.70,president.tj
91.218.162.70,web.president.tj
91.218.162.70,www.president.tj
91.218.162.115,mail.cs.gov.tj
159.8.75.66,visa.gov.tj
159.8.75.66,visa.gov.tj
185.177.1.237,mail.eprocurement.gov.tj
185.177.1.237,mail.eprocurement.gov.tj
185.177.1.238,eprocurement.gov.tj
185.177.1.238,test.eprocurement.gov.tj
185.177.1.238,webinar.elearning.eprocurement.gov.tj
185.177.1.238,zakupki.gov.tj
185.177.1.238,portal.zakupki.gov.tj
185.177.1.238,www.zakupki.gov.tj
185.177.1.238,zakupki.gov.tj
185.177.1.239,eprocurement.gov.tj
185.177.1.239,www.eprocurement.gov.tj
185.177.1.239,eprocurement.gov.tj
185.177.1.239,wiki.eprocurement.gov.tj
185.177.1.239,www.eprocurement.gov.tj
185.177.1.253,test.eprocurement.gov.tj
185.177.1.253,test.eprocurement.gov.tj
185.178.208.147,telekom.gov.tj
185.178.208.147,telekom.gov.tj
185.178.208.147,telekom.gov.tj
185.178.208.188,oplata.telekom.gov.tj
185.178.208.188,oplata.telekom.gov.tj
185.178.208.188,oplata.telekom.gov.tj
89.104.121.253,autoconfig.cs.gov.tj
89.104.121.253,autodiscover.cs.gov.tj
89.104.121.253,mail.cs.gov.tj
89.104.121.253,mta-sts.cs.gov.tj
89.104.121.253,autoconfig.cs.gov.tj
89.104.121.253,autodiscover.cs.gov.tj
89.104.121.253,mail.cs.gov.tj
89.104.121.253,mta-sts.cs.gov.tj
