ip_address,domain
111.68.119.52,crlsj.gov.tl
110.4.45.60,odcftz.gov.tl
110.4.45.60,portfolio.odcftz.gov.tl
110.4.45.60,oe-cusse.gov.tl
110.4.45.60,www.portfolio.odcftz.gov.tl
110.4.45.60,odcftz.raeoa-zeesm.gov.tl
110.4.45.60,raeoa-zeesm.gov.tl
110.4.45.60,oecusse.raeoa-zeesm.gov.tl
110.4.45.60,odcfz.com.raeoa-zeesm.gov.tl
110.4.45.60,www.odcftz.com.raeoa-zeesm.gov.tl
110.4.45.60,odcftz.com.raeoa-zeesm.gov.tl
110.4.45.60,www.odcftz.raeoa-zeesm.gov.tl
110.4.45.60,www.odcfz.com.raeoa-zeesm.gov.tl
110.4.45.60,www.oecusse.raeoa-zeesm.gov.tl
110.4.45.60,oe-cusse.gov.tl
110.4.45.60,raeoa-zeesm.gov.tl
110.4.45.60,oecusse.raeoa-zeesm.gov.tl
110.4.45.60,www.oecusse.raeoa-zeesm.gov.tl
190.92.157.110,admin.tip.mci.gov.tl
190.92.157.110,mail.tip.mci.gov.tl
190.92.157.110,tip.mci.gov.tl
190.92.157.110,www.admin.tip.mci.gov.tl
190.92.157.110,www.tip.mci.gov.tl
190.92.157.110,mail.tip.mci.gov.tl
190.92.157.110,tip.mci.gov.tl
190.92.157.110,www.tip.mci.gov.tl
190.92.157.110,admin.tip.mci.gov.tl
190.92.157.110,mail.tip.mci.gov.tl
190.92.157.110,www.admin.tip.mci.gov.tl
190.92.157.110,www.tip.mci.gov.tl
190.92.157.110,tip.mci.gov.tl
190.92.157.110,admin.tip.mci.gov.tl
143.198.210.216,ida.pnds.gov.tl
143.198.210.216,ida.pnds.gov.tl
84.32.84.43,aifaesa.gov.tl
84.32.84.239,aifaesa.gov.tl
93.127.201.64,ans1225.aifaesa.gov.tl
184.154.215.142,dnee.sefope.gov.tl
184.154.215.142,lsu.sefope.gov.tl
184.154.215.142,sefope.gov.tl
184.154.215.142,dnee.sefope.gov.tl
184.154.215.142,sefope.gov.tl
184.154.215.142,lsu.sefope.gov.tl
108.163.217.86,dnee.sefope.gov.tl
108.163.217.86,lsu.sefope.gov.tl
108.163.217.86,sefope.gov.tl
108.163.217.86,websefope.sefope.gov.tl
108.163.217.86,dnee.sefope.gov.tl
108.163.217.86,lsu.sefope.gov.tl
108.163.217.86,websefope.sefope.gov.tl
108.163.217.86,sefope.gov.tl
35.213.140.33,www.raeoa-zeesm.gov.tl
35.213.218.177,oe-cusse.gov.tl
35.213.218.177,oe-cusse.gov.tl
108.178.43.98,inetl-ip.gov.tl
108.178.43.98,inetl-ip.gov.tl
108.178.43.98,inetl-ip.gov.tl
151.243.222.124,lic.mci.gov.tl
45.13.255.170,webmail.sejd.gov.tl
