ip_address,domain
93.171.223.9,magtymgulyteatr.gov.tm
93.171.223.9,www.magtymgulyteatr.gov.tm
93.171.223.9,magtymgulyteatr.gov.tm
93.171.223.9,www.magtymgulyteatr.gov.tm
93.171.223.217,edu.ayauk.gov.tm
93.171.223.217,edu.ayauk.gov.tm
93.171.223.217,edu.ayauk.gov.tm
127.0.0.1,www.dashoguzmuseum.gov.tm
188.114.96.3,www.mejlis.gov.tm
188.114.96.3,www.meteo.gov.tm
188.114.96.4,www.meteo.gov.tm
188.114.96.4,mejlis.gov.tm
10.97.10.200,tmgeology.gov.tm
119.235.112.190,builder.sbr.stat.gov.tm
119.235.112.190,api.sbr.stat.gov.tm
119.235.112.190,db.sbr.stat.gov.tm
119.235.112.190,payments.sbr.stat.gov.tm
119.235.112.190,sbr.stat.gov.tm
119.235.112.190,pdf.sbr.stat.gov.tm
119.235.115.58,estathasabat.gov.tm
119.235.115.58,www.estathasabat.gov.tm
119.235.116.55,internetbank.halkbank.gov.tm
119.235.116.55,internetbank.halkbank.gov.tm
119.235.116.55,internetbank.halkbank.gov.tm
119.235.116.57,sanlykarz.halkbank.gov.tm
119.235.116.58,swaapi.halkbank.gov.tm
119.235.116.58,swaauth.halkbank.gov.tm
119.235.116.58,swamob.halkbank.gov.tm
119.235.116.58,swaapi.halkbank.gov.tm
119.235.116.58,swaauth.halkbank.gov.tm
119.235.116.58,swamob.halkbank.gov.tm
119.235.116.248,tradebridge.gov.tm
119.235.116.248,tradebridge.gov.tm
119.235.116.248,www.tradebridge.gov.tm
119.235.117.74,api.sbr.stat.gov.tm
119.235.117.74,payments.sbr.stat.gov.tm
119.235.117.74,builder.sbr.stat.gov.tm
119.235.117.74,pdf.sbr.stat.gov.tm
119.235.117.74,sbr.stat.gov.tm
119.235.117.74,builder.sbr.stat.gov.tm
119.235.117.74,db.sbr.stat.gov.tm
119.235.117.74,payments.sbr.stat.gov.tm
119.235.117.74,api.sbr.stat.gov.tm
119.235.117.74,sbr.stat.gov.tm
119.235.117.74,pdf.sbr.stat.gov.tm
119.235.124.122,obahyzmat.gov.tm
216.250.8.22,www.minagri.gov.tm
216.250.8.22,minagri.gov.tm
216.250.8.22,minagri.gov.tm
216.250.8.22,www.minagri.gov.tm
216.250.8.23,www.saylav.gov.tm
216.250.8.23,saylav.gov.tm
216.250.8.23,online.saylav.gov.tm
216.250.8.23,saylav.gov.tm
216.250.8.23,www.saylav.gov.tm
216.250.8.23,saylav.gov.tm
216.250.8.23,www.saylav.gov.tm
216.250.8.39,balkanagyzsuw.gov.tm
216.250.8.39,www.balkanagyzsuw.gov.tm
216.250.8.42,mineco.gov.tm
216.250.8.42,www.mineco.gov.tm
216.250.8.42,mineco.gov.tm
216.250.8.42,mineco.gov.tm
216.250.8.46,turkmenhimiya.gov.tm
216.250.8.46,www.turkmenhimiya.gov.tm
216.250.8.46,turkmenhimiya.gov.tm
216.250.8.50,dashoguz.tkamm.gov.tm
216.250.8.50,dashoguz.tkamm.gov.tm
216.250.8.77,ashgabatyylylyk.gov.tm
216.250.8.77,ashgabatyylylyk.gov.tm
216.250.8.77,www.ashgabatyylylyk.gov.tm
216.250.8.77,www.ashgabatyylylyk.gov.tm
216.250.8.81,halkbank.gov.tm
216.250.8.81,halkbank.gov.tm
216.250.8.81,www.halkbank.gov.tm
216.250.8.81,halkbank.gov.tm
216.250.8.81,www.halkbank.gov.tm
216.250.8.81,www.halkbank.gov.tm
216.250.8.84,www.advokat-ashgabat.gov.tm
216.250.8.84,advokat-ashgabat.gov.tm
216.250.8.84,advokat-ashgabat.gov.tm
216.250.8.84,advokat-ashgabat.gov.tm
216.250.8.84,www.advokat-ashgabat.gov.tm
216.250.8.101,arkadagsaherkitaphana.gov.tm
216.250.8.101,www.arkadagsaherkitaphana.gov.tm
216.250.8.109,unesco.gov.tm
216.250.8.109,www.unesco.gov.tm
216.250.8.110,shahsyotag.halkbank.gov.tm
216.250.8.110,shahsyotag.halkbank.gov.tm
216.250.8.110,shahsyotag.halkbank.gov.tm
216.250.8.110,www.shahsyotag.halkbank.gov.tm
216.250.8.112,tkamm.gov.tm
216.250.8.112,www.tkamm.gov.tm
216.250.8.112,tkamm.gov.tm
216.250.8.112,www.tkamm.gov.tm
