ip_address,domain
2a00:1d58:0:1902:94:55:118:33,turkiye.gov.tr
2a00:1d58:0:1902:94:55:118:37,turkiye.gov.tr
34.3.95.160,gbys.guneysinir.bel.tr
34.3.95.160,guneysinir.bel.tr
34.3.95.160,gbys.guneysinir.bel.tr
2a01:358:4014:1400::120,btk.gov.tr
111.84.163.14,survey.invest.gov.tr
141.98.48.171,dihizdemo.didim.bel.tr
141.98.112.16,aquapark.atakum.bel.tr
141.98.112.16,askidabayramlik.atakum.bel.tr
141.98.112.16,atakafe.atakum.bel.tr
141.98.112.16,atim.atakum.bel.tr
141.98.112.16,cakirlarkorusu.atakum.bel.tr
141.98.112.16,catalcam.atakum.bel.tr
141.98.112.16,cakirlarmenu.atakum.bel.tr
141.98.112.16,hasanaliyucel.atakum.bel.tr
141.98.112.16,omerhalisdemir.atakum.bel.tr
141.98.112.16,kitapkafe.atakum.bel.tr
141.98.112.16,aquapark.atakum.bel.tr
141.98.112.16,atakafe.atakum.bel.tr
141.98.112.16,askidabayramlik.atakum.bel.tr
141.98.112.16,atim.atakum.bel.tr
141.98.112.16,cakirlarkorusu.atakum.bel.tr
141.98.112.16,cakirlarmenu.atakum.bel.tr
141.98.112.16,catalcam.atakum.bel.tr
141.98.112.16,hasanaliyucel.atakum.bel.tr
141.98.112.16,omerhalisdemir.atakum.bel.tr
141.98.112.16,kitapkafe.atakum.bel.tr
141.98.113.100,bursasenfoni.gov.tr
141.98.113.100,mail.bursasenfoni.gov.tr
141.98.113.100,www.bursasenfoni.gov.tr
141.98.113.106,mail.evep.gov.tr
141.98.113.106,mail.evep.gov.tr
141.98.113.108,taskent.bel.tr
141.98.113.108,cp.taskent.bel.tr
141.98.113.108,cp.taskent.bel.tr
141.98.113.108,taskent.bel.tr
141.98.115.43,09nolubayraktarasm.gov.tr
141.98.115.43,09nolunurisirikciasm.gov.tr
141.98.115.43,1200evlerasm.gov.tr
141.98.115.43,12noluislampasaasm.gov.tr
141.98.115.43,13kasimasm.gov.tr
141.98.115.43,13martasm.gov.tr
141.98.115.43,13nolukaramanasm.gov.tr
141.98.115.43,14noluakabeasm.gov.tr
141.98.115.43,15noluasm.gov.tr
141.98.115.43,15noluhurriyetasm.gov.tr
141.98.115.43,17noluselahattintopcuasm.gov.tr
141.98.115.43,23nisanasm.gov.tr
141.98.115.43,29ekimasm.gov.tr
141.98.115.43,30nolumihsanogul.gov.tr
141.98.115.43,15temmuzdemokrasisehitleriasm.gov.tr
141.98.115.43,4noluhelvaciasm.gov.tr
141.98.115.43,3nolucumhuriyetasm.gov.tr
141.98.115.43,500evlerasm.gov.tr
141.98.115.43,6noluasm.gov.tr
141.98.115.43,8noluberkaykaplanasm.gov.tr
141.98.115.43,75yilasm.gov.tr
141.98.115.43,8noluistiklalasm.gov.tr
141.98.115.43,ademgirginasm.gov.tr
141.98.115.43,abdurrahmankeskinerasm.gov.tr
141.98.115.43,adiyamankuyluasm.gov.tr
141.98.115.43,adnanmenderesasm.gov.tr
141.98.115.43,adiyamanmerkez4noluasm.gov.tr
141.98.115.43,afyon13noluasm.gov.tr
141.98.115.43,27noluseksenorenasm.gov.tr
141.98.115.43,afsin2noluhaciferamuzinalasm.gov.tr
141.98.115.43,agrimerkez1noluasm.gov.tr
141.98.115.43,agrimerkez6noluasm.gov.tr
141.98.115.43,agrimerkez7noluasm.gov.tr
141.98.115.43,ahievranasm.gov.tr
141.98.115.43,ahirlimerkezasm.gov.tr
141.98.115.43,ahmetfaikekerasm.gov.tr
141.98.115.43,ahmetyasaresmekayaasm.gov.tr
141.98.115.43,akcakocaugurluasm.gov.tr
141.98.115.43,akdenizsanayiasm.gov.tr
141.98.115.43,akkaleasm.gov.tr
141.98.115.43,akcakirazasm.gov.tr
141.98.115.43,akkentasm.gov.tr
141.98.115.43,akkapi2noluasm.gov.tr
141.98.115.43,aksoyasm.gov.tr
141.98.115.43,aksukaraozasm.gov.tr
141.98.115.43,akyazi3noluasm.gov.tr
141.98.115.43,aladagbuyuksofuluasm.gov.tr
141.98.115.43,alahaciasm.gov.tr
141.98.115.43,akpinartoki.gov.tr
141.98.115.43,altieylul18noluasm.gov.tr
141.98.115.43,altindagaydinlikevlerasm.gov.tr
141.98.115.43,altinekinakincilarasm.gov.tr
141.98.115.43,altinelmaasm.gov.tr
141.98.115.43,altunelmaasm.gov.tr
141.98.115.43,amasyamerkez9noluasm.gov.tr
141.98.115.43,amisosasm.gov.tr
141.98.115.43,akyildizasm.gov.tr
141.98.115.43,anafartalarasm.gov.tr
141.98.115.43,ankaraabdullahpazarbasiasm.gov.tr
141.98.115.43,arabayatagiasm.gov.tr
141.98.115.43,arifiyeasm.gov.tr
141.98.115.43,armutluasm.gov.tr
141.98.115.43,artuklusevgiasm.gov.tr
141.98.115.43,asikpasaasm.gov.tr
141.98.115.43,asiyeragiporalasm.gov.tr
141.98.115.43,aslanapaasm.gov.tr
141.98.115.43,atakummerkezasm.gov.tr
141.98.115.43,atcaasm.gov.tr
141.98.115.43,avsallarasm.gov.tr
141.98.115.43,ayancikasm.gov.tr
141.98.115.43,ayasmerkezasm.gov.tr
141.98.115.43,aybastiasm.gov.tr
141.98.115.43,aydin3noluasm.gov.tr
141.98.115.43,aydinefeler21noluasm.gov.tr
141.98.115.43,aydintepeasm.gov.tr
141.98.115.43,bagbasizumrutevlerasm.gov.tr
141.98.115.43,babadagasm.gov.tr
141.98.115.43,baglar31noluasm.gov.tr
141.98.115.43,baglarselahattineyyubiasm.gov.tr
141.98.115.43,baglaryenikoyasm.gov.tr
141.98.115.43,baglaryanikkoskasm.gov.tr
141.98.115.43,bahcekapiasm.gov.tr
141.98.115.43,baklanasm.gov.tr
141.98.115.43,balciasm.gov.tr
141.98.115.43,balikesirburhaniye5nolupelitkoyasm.gov.tr
141.98.115.43,baliklicesmeasm.gov.tr
141.98.115.43,barisasm.gov.tr
141.98.115.43,baskarciasm.gov.tr
141.98.115.43,baslamisasm.gov.tr
141.98.115.43,battalgazigoztepe2asm.gov.tr
141.98.115.43,bayburt2noluasm.gov.tr
141.98.115.43,baydemirliasm.gov.tr
141.98.115.43,bayrakli21noluasm.gov.tr
141.98.115.43,bayramiccarsiaileasm.gov.tr
141.98.115.43,bbkarahasanliasm.gov.tr
141.98.115.43,bekbele1noluasm.gov.tr
141.98.115.43,bekirdereasm.gov.tr
141.98.115.43,begelasm.gov.tr
141.98.115.43,besnisariyaprakasm.gov.tr
141.98.115.43,bespinarasm.gov.tr
141.98.115.43,beyazaltinasm.gov.tr
141.98.115.43,beyobaasm.gov.tr
141.98.115.43,bigasirintepeasm.gov.tr
141.98.115.43,bilecik7noluasm.gov.tr
141.98.115.43,beyagacasm.gov.tr
141.98.115.43,bilecikbozuyuk4noluasm.gov.tr
141.98.115.43,bileciktoki6noluasm.gov.tr
141.98.115.43,birecik5noluasm.gov.tr
141.98.115.43,birecikbabahatasm.gov.tr
141.98.115.43,bismil9nolutepeasm.gov.tr
141.98.115.43,bodrumturgutreisasm.gov.tr
141.98.115.43,bolcekasm.gov.tr
141.98.115.43,bozuyuk6noluasm.gov.tr
141.98.115.43,bozuyuk3noluasm.gov.tr
141.98.115.43,buca40noluasm.gov.tr
141.98.115.43,bozcamahmutasm.gov.tr
141.98.115.43,burakasm.gov.tr
141.98.115.43,burunucuasm.gov.tr
141.98.115.43,burdurmerkez5noluasm.gov.tr
141.98.115.43,buyukmangitasm.gov.tr
141.98.115.43,cagalogluasm.gov.tr
141.98.115.43,buca21nolucamlikuleasm.gov.tr
141.98.115.43,caglayanasm.gov.tr
141.98.115.43,calakkentasm.gov.tr
141.98.115.43,caliasm.gov.tr
141.98.115.43,cameliasm.gov.tr
141.98.115.43,camlicakoyuasm.gov.tr
141.98.115.43,canakkalemerkezasm.gov.tr
141.98.115.43,canakkalenamazgahasm.gov.tr
141.98.115.43,canataturkasm.gov.tr
141.98.115.43,canakkaleyuzuncuyilasm.gov.tr
