ip_address,domain
34.8.52.140,mycybertraining.mdt.gov.tt
34.8.52.140,mycybertraining.mdt.gov.tt
190.6.224.83,mail.energy.gov.tt
190.6.224.122,autodiscover.itac.gov.tt
190.6.224.122,itac.gov.tt
190.6.224.122,mail.itac.gov.tt
190.6.224.122,autodiscover.jig.gov.tt
190.6.224.122,mail.jig.gov.tt
190.6.224.122,jig.gov.tt
190.6.224.122,autodiscover.nifc.gov.tt
190.6.224.122,mail.nifc.gov.tt
190.6.224.122,nifc.gov.tt
190.6.224.122,mail.nofc.gov.tt
190.6.224.122,autodiscover.nofc.gov.tt
190.6.224.122,nofc.gov.tt
190.6.224.122,autodiscover.nscs.gov.tt
190.6.224.122,mail.nscs.gov.tt
190.6.224.122,nscs.gov.tt
190.6.224.170,moh.gov.tt
190.6.224.194,mail.pesrga.gov.tt
190.6.224.194,sdgdata.gov.tt
190.6.224.195,mailsvr1.planning.gov.tt
190.6.224.196,webopac.planning.gov.tt
190.6.224.197,ttbis.planning.gov.tt
190.6.224.198,mail.phe.gov.tt
190.6.224.198,phe.gov.tt
190.6.224.198,www.phe.gov.tt
190.6.224.198,cloud.planning.gov.tt
190.6.224.198,cloud.planning.gov.tt
190.6.224.230,autodiscover.nscs.gov.tt
190.6.224.230,mail.nscs.gov.tt
190.6.224.230,mail.nscs.gov.tt
190.6.224.230,autodiscover.itac.gov.tt
190.6.224.230,mail.itac.gov.tt
190.6.224.230,autodiscover.jig.gov.tt
190.6.224.230,itac.gov.tt
190.6.224.230,jig.gov.tt
190.6.224.230,mail.jig.gov.tt
190.6.224.230,autodiscover.nifc.gov.tt
190.6.224.230,mail.nifc.gov.tt
190.6.224.230,nifc.gov.tt
190.6.224.230,autodiscover.nofc.gov.tt
190.6.224.230,mail.nofc.gov.tt
190.6.224.230,nofc.gov.tt
190.6.224.230,autodiscover.nscs.gov.tt
190.6.224.230,mail.nscs.gov.tt
190.6.224.230,nscs.gov.tt
44.202.179.129,www.laws.gov.tt
44.202.179.129,laws.gov.tt
44.202.179.129,laws.gov.tt
44.202.179.129,www.laws.gov.tt
44.202.179.129,laws.gov.tt
44.202.179.129,www.laws.gov.tt
44.210.13.172,search.ipo.gov.tt
35.95.166.55,mycybertraining.mdt.gov.tt
35.95.166.55,mycybertraining.gov.tt
35.95.166.55,mycybertraining.gov.tt
44.218.39.183,share.ttps.gov.tt
44.218.39.183,share.ttps.gov.tt
190.58.0.194,remote.mpu.gov.tt
190.58.0.194,remote.mpu.gov.tt
190.58.0.194,remote.mpu.gov.tt
190.58.0.194,ipms.mpu.gov.tt
190.58.2.110,www.mowt.gov.tt
190.58.2.110,mowt.gov.tt
190.58.2.165,api.govpaytt.gov.tt
190.58.2.165,govpaytt.gov.tt
190.58.2.165,api.govpaytt.gov.tt
190.58.2.165,api.govpaytt.gov.tt
190.58.2.165,govpaytt.gov.tt
190.58.4.221,mail.tls.gov.tt
190.58.4.219,tls.gov.tt
190.58.4.221,mail.tls.gov.tt
190.58.6.61,rec2023.mil.tt
190.58.6.61,ttdfrec.mil.tt
190.58.7.42,ec.tha.gov.tt
190.58.7.42,ec.tha.gov.tt
190.58.7.42,211kb.gov.tt
190.58.7.42,ec.tha.gov.tt
190.58.27.1,drive.employtt.gov.tt
190.58.27.1,drive.employtt.gov.tt
190.58.27.2,businesscards.gov.tt
190.58.27.2,businesscards.gov.tt
190.58.27.4,sbwdev.gov.tt
190.58.27.4,sbwdev.gov.tt
190.58.27.4,sbwdev.gov.tt
190.58.27.5,sbwtest.gov.tt
190.58.27.5,sbwtest.gov.tt
190.58.27.6,sbw.gov.tt
190.58.27.7,abccloud.gov.tt
190.58.27.8,statebooks.gov.tt
190.58.27.8,statebooks.gov.tt
190.58.27.10,autodiscover.gov.tt
190.58.27.16,ttpostmobile.gov.tt
190.58.27.18,filezone.gov.tt
190.58.27.19,neon.labour.gov.tt
190.58.27.19,neon.labour.gov.tt
190.58.27.18,filezone.gov.tt
190.58.27.22,hours.mydns.gov.tt
190.58.27.28,benefitt.gov.tt
190.58.27.24,ced-liquor-license.gov.tt
190.58.27.29,uatweb1.cms.gov.tt
190.58.129.11,mail.mpsd.gov.tt
190.58.129.11,mail.mpsd.gov.tt
190.58.129.13,email.mpsd.gov.tt
190.58.130.54,noc.gov.tt
190.58.130.54,noc.gov.tt
190.58.130.190,ttms.gov.tt
190.58.130.230,metservice.gov.tt
190.58.130.230,www.metservice.gov.tt
190.58.130.230,metservice.gov.tt
190.58.130.230,www.metservice.gov.tt
190.58.131.66,tobagojobs.gov.tt
190.58.135.78,211kb.gov.tt
190.58.135.118,ag.gov.tt
190.58.135.118,ag.gov.tt
190.58.142.107,sautt.gov.tt
190.58.145.110,mail.cdf.gov.tt
190.58.147.62,211.gov.tt
190.58.154.40,test.app.ttbizlink.gov.tt
190.58.154.40,www.test.app.ttbizlink.gov.tt
190.58.154.41,test.login.ttbizlink.gov.tt
190.58.154.41,test.pay.ttbizlink.gov.tt
190.58.154.41,test.payadmin.ttbizlink.gov.tt
190.58.154.41,test.pay.ttbizlink.gov.tt
190.58.154.41,test.payadmin.ttbizlink.gov.tt
190.58.154.41,test.login.ttbizlink.gov.tt
190.58.154.41,test.pay.ttbizlink.gov.tt
190.58.154.41,test.payadmin.ttbizlink.gov.tt
190.58.154.41,www.test.login.ttbizlink.gov.tt
190.58.155.17,etax.ird.gov.tt
190.58.155.17,www.etax.ird.gov.tt
190.58.155.17,etax.ird.gov.tt
190.58.155.17,www.etax.ird.gov.tt
190.58.156.67,cloud.mdt.gov.tt
190.58.156.67,mdt.gov.tt
190.58.156.68,nest.gov.tt
190.58.156.68,identt.gov.tt
190.58.156.68,nest.gov.tt
190.58.156.68,nest.gov.tt
190.58.156.69,webportal1.gov.tt
190.58.156.70,smtp10.gov.tt
190.58.156.70,smtp10.gov.tt
190.58.156.70,webmail.gov.tt
190.58.156.71,businesscards.gov.tt
190.58.156.71,cita.gov.tt
190.58.156.71,cita.gov.tt
190.58.156.71,webfarmext01.gov.tt
190.58.156.71,webfarmext01.gov.tt
190.58.156.72,webim.gov.tt
190.58.156.72,webim.gov.tt
190.58.156.73,autodiscover.gov.tt
190.58.156.73,autodiscover.gov.tt
190.58.156.73,dhub.mdt.gov.tt
190.58.156.73,mdt.gov.tt
190.58.156.74,sip.gov.tt
190.58.156.74,accessedgeext01.gov.tt
190.58.156.74,sip.gov.tt
190.58.156.75,webconfext01.gov.tt
190.58.156.75,social.gov.tt
190.58.156.75,webconfext01.gov.tt
190.58.156.76,fiu.sanctionslist.gov.tt
190.58.156.75,isems.social.gov.tt
190.58.156.76,fiu.sanctionslist.gov.tt
190.58.156.77,mowt.gov.tt
190.58.156.77,www.mowt.gov.tt
