ip_address,domain
54.66.90.215,psc.gov.tv
54.66.90.215,psc.gov.tv
54.79.246.108,marine.gov.tv
45.77.50.163,stats.gov.tv
45.77.50.163,stats.gov.tv
45.77.50.163,stats.gov.tv
54.179.117.129,rt.gov.tv
54.179.117.129,rt.gov.tv
54.206.166.133,culture.gov.tv
54.206.166.133,election.gov.tv
54.206.166.133,environment.gov.tv
54.206.166.133,dfa.gov.tv
54.206.166.133,met.gov.tv
54.206.166.133,iakobaitaleli.gov.tv
54.206.166.133,psc.gov.tv
54.206.166.133,www.gov.tv
54.206.166.133,mlga.gov.tv
54.252.208.3,mhacce.gov.tv
54.252.214.43,homeaffairs.gov.tv
54.252.214.43,homeaffairs.gov.tv
54.253.136.103,mteci.gov.tv
52.63.161.124,ict.gov.tv
52.63.161.124,ict.gov.tv
52.77.110.204,teammate.gov.tv
13.211.68.84,culture.gov.tv
13.211.68.84,culture.gov.tv
13.238.185.182,nto.kaupule.gov.tv
208.117.46.132,parliament.gov.tv
154.26.157.127,temis.gov.tv
154.26.157.127,www.temis.gov.tv
3.24.208.136,pwd.gov.tv
3.24.208.136,pwd.gov.tv
3.25.30.58,tuvaluclimatechange.gov.tv
3.25.30.58,tuvaluclimatechange.gov.tv
3.25.30.58,tuvaluclimatechange.gov.tv
3.25.89.103,tourism.gov.tv
3.25.212.93,gender.gov.tv
3.25.224.122,parliament.gov.tv
3.25.224.122,parliament.gov.tv
3.26.182.81,climatechange.gov.tv
3.27.236.195,csdb.gov.tv
69.90.160.35,mfed.gov.tv
162.241.230.74,cpmo.gov.tv
162.241.230.74,finance.gov.tv
162.241.230.74,trade.gov.tv
162.241.230.74,cpmo.gov.tv
162.241.230.74,cpmo.gov.tv
162.241.230.74,finance.gov.tv
162.241.230.74,finance.gov.tv
162.241.230.74,trade.gov.tv
162.241.230.74,trade.gov.tv
202.2.96.1,static.gov.tv
202.2.96.1,aliki.gov.tv
202.2.96.2,static.gov.tv
202.2.96.3,fale.gov.tv
202.2.96.3,ns1.gov.tv
202.2.96.6,static.gov.tv
202.2.96.11,www.marine.gov.tv
202.2.96.11,opl.gov.tv
202.2.96.11,www.opl.gov.tv
202.2.96.11,static.gov.tv
202.2.96.12,static.gov.tv
202.2.96.12,tuv-spam-01.gov.tv
202.2.96.13,cabinet.gov.tv
202.2.96.13,tpccbooking.gov.tv
202.2.96.13,tuv-fmis.gov.tv
202.2.96.13,cabinet.gov.tv
202.2.96.13,cabinet.gov.tv
202.2.96.13,crvs.gov.tv
202.2.96.13,ict.gov.tv
202.2.96.13,static.gov.tv
202.2.96.13,tpccbooking.gov.tv
202.2.96.13,tuv-fmis.gov.tv
202.2.96.13,tuv-fmis.gov.tv
202.2.96.14,static.gov.tv
202.2.96.17,static.gov.tv
202.2.96.19,static.gov.tv
202.2.96.22,static.gov.tv
202.2.96.23,static.gov.tv
202.2.96.26,static.gov.tv
202.2.96.28,static.gov.tv
202.2.96.32,static.gov.tv
202.2.96.39,static.gov.tv
202.2.96.40,static.gov.tv
202.2.96.42,static.gov.tv
202.2.96.43,static.gov.tv
202.2.96.48,static.gov.tv
202.2.96.46,static.gov.tv
202.2.96.49,static.gov.tv
202.2.96.51,static.gov.tv
202.2.96.53,static.gov.tv
202.2.96.55,static.gov.tv
202.2.96.56,static.gov.tv
202.2.96.57,static.gov.tv
202.2.96.60,static.gov.tv
202.2.96.63,static.gov.tv
202.2.96.65,static.gov.tv
202.2.96.66,static.gov.tv
202.2.96.69,static.gov.tv
202.2.96.71,static.gov.tv
202.2.96.73,static.gov.tv
202.2.96.74,static.gov.tv
202.2.96.77,static.gov.tv
202.2.96.78,static.gov.tv
202.2.96.79,static.gov.tv
202.2.96.80,static.gov.tv
202.2.96.82,static.gov.tv
202.2.96.83,static.gov.tv
202.2.96.84,static.gov.tv
