ip_address,domain
211.20.7.181,tc.ctsp.gov.tw
211.20.7.181,tc.ctsp.gov.tw
211.20.18.245,streetlight.tainan.gov.tw
211.20.18.245,streetlight.tainan.gov.tw
211.20.50.125,ylsfc.yuanlin.gov.tw
211.20.50.125,ylsfc.yuanlin.gov.tw
211.20.54.241,hlrcp.hccc.gov.tw
211.20.54.241,tour.tainan.gov.tw
211.20.54.241,tticc.taitung.gov.tw
211.20.54.241,hlrcp.hccc.gov.tw
211.20.54.241,hlrcp.hccc.gov.tw
211.20.54.241,tour.hcpst.gov.tw
211.20.54.241,abda.hl.gov.tw
211.20.54.241,abshop.hl.gov.tw
211.20.54.241,tour.tainan.gov.tw
211.20.54.241,tour.tainan.gov.tw
211.20.54.241,hkfly.tainan.gov.tw
211.20.54.241,tticc.taitung.gov.tw
211.20.54.241,tticc.taitung.gov.tw
211.20.54.241,newtravel.taichung.gov.tw
211.20.93.52,cabkc.kinmen.gov.tw
211.20.93.78,gaz.tycg.gov.tw
211.20.93.208,tps.forest.gov.tw
211.20.93.208,tpsr.forest.gov.tw
211.20.93.209,tpsr.forest.gov.tw
211.20.93.209,tps.forest.gov.tw
211.20.105.106,kleco.klcg.gov.tw
211.20.109.50,hcc.gov.tw
211.20.109.50,www.hcc.gov.tw
211.20.109.50,www.hcc.gov.tw
211.20.109.50,hcc.gov.tw
211.20.109.50,www.hcc.gov.tw
211.20.117.199,agin.tfrin.gov.tw
211.20.124.226,pb.gov.tw
211.20.124.226,www.pb.gov.tw
211.20.179.117,admin-report.cec.gov.tw
211.20.179.117,report2024.cec.gov.tw
211.20.197.118,emaauth.nat.gov.tw
211.20.197.118,emaauth.nat.gov.tw
211.20.197.118,tc1.emaauth.nat.gov.tw
211.20.197.118,tc2.emaauth.nat.gov.tw
211.20.197.118,tp.emaauth.nat.gov.tw
211.20.197.118,kh.emaauth.nat.gov.tw
111.70.22.116,ty04.tycg.gov.tw
111.70.22.117,ty03.tycg.gov.tw
111.70.31.45,ty18.tycg.gov.tw
111.70.40.94,tari.gov.tw
111.70.40.177,ty17.tycg.gov.tw
211.20.236.89,mailling.cyhg.gov.tw
211.20.236.89,chnh.mohw.gov.tw
211.20.236.89,crch.mohw.gov.tw
211.20.236.89,phsch.mohw.gov.tw
211.20.236.89,mailling.cyhg.gov.tw
211.20.236.89,crch.mohw.gov.tw
211.20.236.89,mailling.cyhg.gov.tw
211.20.236.89,chnh.mohw.gov.tw
211.20.236.89,crch.mohw.gov.tw
211.20.236.89,phsch.mohw.gov.tw
211.20.251.61,tykids.tycg.gov.tw
211.20.251.66,landhc.gov.tw
211.20.251.66,www.landhc.gov.tw
211.21.16.171,epb.hlepb.gov.tw
211.21.16.171,epb.hlepb.gov.tw
211.21.43.80,mail.post.gov.tw
211.21.61.225,2025ghcc.hakka.gov.tw
211.21.61.225,2025ghcc.hakka.gov.tw
211.21.78.212,www.hsichih.tpc.gov.tw
211.21.158.4,visionhall.tycg.gov.tw
211.21.164.73,mcu.mjac.moj.gov.tw
211.21.164.73,mcu.mjac.moj.gov.tw
211.21.164.73,mcu.mjac.moj.gov.tw
211.21.168.163,vrhousing.tycg.gov.tw
211.21.168.163,vrhousing.tycg.gov.tw
211.21.173.67,hinet.yuchih.gov.tw
211.21.173.67,hinet.yuchih.gov.tw
211.21.173.67,hinet4.yuchih.gov.tw
211.21.173.67,mail.yuchih.gov.tw
211.21.209.145,rmc.iamli.nat.gov.tw
211.21.209.145,rmm.iamli.nat.gov.tw
211.21.209.175,rmc.iamli.nat.gov.tw
211.21.209.175,rmm.iamli.nat.gov.tw
211.21.209.180,reswarn.iamli.nat.gov.tw
211.21.209.188,safeap.mlfd.gov.tw
211.21.209.188,safeap.mlfd.gov.tw
211.21.209.189,emsmcu.mlfd.gov.tw
211.21.209.189,emsmcu.mlfd.gov.tw
211.21.209.189,emsmcu.mlfd.gov.tw
211.21.213.61,de.tryout.gov.tw
211.21.225.106,dns.tainantb.gov.tw
211.21.225.107,sev1.tainantb.gov.tw
211.21.225.106,dns.tainantb.gov.tw
211.21.225.108,sev2.tainantb.gov.tw
