ip_address,domain
41.59.1.65,webmail.roadsfund.go.tz
41.59.1.65,webmail.roadsfund.go.tz
41.59.1.66,mis.roadsfund.go.tz
41.59.1.66,mis.roadsfund.go.tz
41.59.1.67,incident.roadsfund.go.tz
41.59.1.67,incident.roadsfund.go.tz
41.59.1.67,roadsfund.go.tz
41.59.1.68,meeting.roadsfund.go.tz
41.59.1.68,meeting.roadsfund.go.tz
41.59.1.68,roadsfund.go.tz
41.59.1.70,git.roadsfund.go.tz
41.59.1.70,git.roadsfund.go.tz
41.59.1.70,roadsfund.go.tz
41.59.1.81,ajira.tamisemi.go.tz
41.59.1.81,tamisemi.go.tz
41.59.1.85,mikoacc.tamisemi.go.tz
41.59.1.85,mikoacc.tamisemi.go.tz
41.59.1.88,tausi.tamisemi.go.tz
41.59.1.85,mikoacc.tamisemi.go.tz
41.59.1.88,tamisemi.go.tz
41.59.1.88,tausi.tamisemi.go.tz
41.59.1.91,imes.tamisemi.go.tz
41.59.1.91,tamisemi.go.tz
41.59.1.93,selform.tamisemi.go.tz
41.59.1.93,tamisemi.go.tz
41.59.1.94,tamisemi.go.tz
41.59.1.99,bot.go.tz
41.59.1.121,bot.go.tz
41.59.1.125,bot.go.tz
41.59.1.125,dodoma.bot.go.tz
41.59.1.201,bwarapps.bot.go.tz
41.59.5.31,gateway.tpf.go.tz
41.59.5.32,mail.tpf.go.tz
41.59.5.70,mail.policeforce.go.tz
41.59.5.199,mail.msd.go.tz
41.59.7.16,dnsmow.mow.go.tz
41.59.7.59,transport.transportinfo.go.tz
41.59.7.101,mail.erb.go.tz
41.59.12.38,mail.sheria.go.tz
41.59.12.183,ns.tzcert.go.tz
41.59.12.193,www.tzcert.go.tz
41.59.12.194,mail.tzcert.go.tz
41.59.12.195,hornet.tzcert.go.tz
41.59.13.79,appserver.tpf.go.tz
41.59.13.95,exchange.dcc.go.tz
41.59.13.205,obrs.brela.go.tz
41.59.17.1,1.17-59-41.mof.go.tz
41.59.17.2,2.17-59-41.mof.go.tz
41.59.17.3,3.17-59-41.mof.go.tz
41.59.17.4,4.17-59-41.mof.go.tz
41.59.17.7,7.17-59-41.mof.go.tz
41.59.17.9,9.17-59-41.mof.go.tz
41.59.17.10,10.17-59-41.mof.go.tz
41.59.17.11,11.17-59-41.mof.go.tz
41.59.17.13,13.17-59-41.mof.go.tz
41.59.17.14,14.17-59-41.mof.go.tz
41.59.17.12,12.17-59-41.mof.go.tz
41.59.17.15,15.17-59-41.mof.go.tz
41.59.17.153,mail.pccb.go.tz
41.59.21.137,smtp.wcf.go.tz
41.59.21.138,mx.wcf.go.tz
41.59.21.203,mail1.tcaa.go.tz
41.59.21.215,apps.tira.go.tz
41.59.22.101,mx.tbc.go.tz
41.59.22.102,mail.tbc.go.tz
41.59.22.145,web.heslb.go.tz
41.59.57.8,airservices.tcaa.go.tz
41.59.57.10,aim.tcaa.go.tz
41.59.57.9,sofia.tcaa.go.tz
41.59.57.106,meet.mtmerurrh.go.tz
41.59.57.137,vts.latra.go.tz
41.59.57.137,aruti.latra.go.tz
41.59.57.137,vts.latra.go.tz
41.59.57.137,awareness.latra.go.tz
41.59.57.137,dts.latra.go.tz
41.59.57.137,intranet.latra.go.tz
41.59.57.137,edms.latra.go.tz
41.59.57.137,rrims.latra.go.tz
41.59.57.137,rrims2.latra.go.tz
41.59.57.137,servicedesk.latra.go.tz
41.59.57.137,vts.latra.go.tz
41.59.57.137,www.latra.go.tz
41.59.57.137,vts.sumatra.go.tz
41.59.57.141,tiketi.latra.go.tz
41.59.57.163,rrims.latra.go.tz
41.59.57.163,rrims.latra.go.tz
41.59.57.210,helpdesk.ncaa.go.tz
41.59.57.210,idportal.ncaa.go.tz
41.59.57.210,safariportal.ncaa.go.tz
41.59.57.210,ngoromso.ncaa.go.tz
41.59.57.230,mactest.wcf.go.tz
41.59.65.145,demo.maliasili.go.tz
41.59.65.145,dev2.maliasili.go.tz
41.59.65.145,demo.maliasili.go.tz
41.59.65.146,helpdesk.maliasili.go.tz
41.59.65.147,asert.maliasili.go.tz
41.59.65.147,asert.maliasili.go.tz
41.59.72.173,mail.intelsec.go.tz
41.59.82.36,nida.go.tz
41.59.82.36,vitambulisho.nida.go.tz
41.59.82.36,vitambulisho.nida.go.tz
41.59.82.40,gw.nida.go.tz
41.59.82.41,portal.nida.go.tz
41.59.82.66,groupware.nida.go.tz
41.59.82.86,jxportal.nida.go.tz
41.59.82.171,mmuu.sheria.go.tz
41.59.82.171,ecmos.sheria.go.tz
41.59.82.171,lms.sheria.go.tz
41.59.82.171,mmuu.sheria.go.tz
41.59.82.171,mtks.sheria.go.tz
41.59.82.180,hdr-dev.moh.go.tz
41.59.82.180,hie-dev.moh.go.tz
41.59.82.180,him-dev.moh.go.tz
41.59.82.181,jxcca.ictc.go.tz
41.59.82.186,tafiti.mawasiliano.go.tz
41.59.82.186,tafiti.mawasiliano.go.tz
41.59.85.33,essp.wcf.go.tz
41.59.85.33,essp.wcf.go.tz
