ip_address,domain
44.31.204.253,ptima.nas.gov.ua
44.31.204.253,ptima.nas.gov.ua
44.31.204.253,ptima.nas.gov.ua
44.188.204.253,ptima.nas.gov.ua
2a00:7a60:0:742d::2,bilgorod-d.gov.ua
44.195.83.23,landing-erso.mms.gov.ua
43.132.205.118,mail.rairada-kremenets.gov.ua
175.45.42.226,loda.gov.ua
175.45.42.233,loda.gov.ua
111.84.161.159,customs.gov.ua
141.94.109.21,vorzel-rada.gov.ua
2a02:26f0:60:28f::1c50,customs.gov.ua
2a02:26f0:60:28f::8867,old.loda.gov.ua
2a02:26f0:60:28f::8b15,new.volynrada.gov.ua
2a02:26f0:60:28f::8b15,volynrada.gov.ua
2a02:26f0:60:28f::8b15,www.volynrada.gov.ua
2a02:26f0:60:29e::1c50,customs.gov.ua
2a02:26f0:60:29e::8867,old.loda.gov.ua
2a02:26f0:60:29e::8b15,new.volynrada.gov.ua
2a02:26f0:60:29e::8b15,volynrada.gov.ua
2a02:26f0:60:29e::8b15,www.volynrada.gov.ua
2a02:26f0:6b:18a::8867,old.loda.gov.ua
141.98.151.70,cnap.avdvca.gov.ua
111.111.222.66,ojigivcirada.gov.ua
111.111.222.66,pustomyty-rada.gov.ua
111.111.222.66,samarska-rada.gov.ua
2a02:26f0:f3:18a::8b15,new.volynrada.gov.ua
2a02:26f0:f3:18a::8b15,volynrada.gov.ua
2a02:26f0:f3:18a::8b15,www.volynrada.gov.ua
2a02:26f0:11a:19f::1c50,customs.gov.ua
141.101.90.96,api.bank.gov.ua
141.101.90.96,ca.mil.gov.ua
141.101.90.96,zc.bank.gov.ua
141.101.90.96,api.bank.gov.ua
141.101.90.96,ca.mil.gov.ua
141.101.90.96,post.mil.gov.ua
141.101.90.96,ca.mil.gov.ua
2a05:480:0:f45d::2,kroptravel.gov.ua
2a05:480:0:f45d::2,www.kroptravel.gov.ua
141.101.90.97,api.bank.gov.ua
141.101.90.97,ca.mil.gov.ua
141.101.90.97,zc.bank.gov.ua
141.101.90.97,api.bank.gov.ua
141.101.90.97,ca.mil.gov.ua
141.101.90.97,ca.mil.gov.ua
141.101.90.97,post.mil.gov.ua
141.101.90.98,api.bank.gov.ua
141.101.90.98,ca.mil.gov.ua
141.101.90.98,api.bank.gov.ua
141.101.90.98,zc.bank.gov.ua
141.101.90.98,ca.mil.gov.ua
141.101.90.98,ca.mil.gov.ua
141.101.90.98,post.mil.gov.ua
23.0.91.194,customs.gov.ua
23.0.162.70,old.loda.gov.ua
23.0.162.72,old.loda.gov.ua
23.0.199.84,customs.gov.ua
141.101.90.99,ca.mil.gov.ua
141.101.90.99,api.bank.gov.ua
23.1.51.195,customs.gov.ua
141.101.90.99,api.bank.gov.ua
141.101.90.99,ca.mil.gov.ua
141.101.90.99,zc.bank.gov.ua
141.101.90.99,ca.mil.gov.ua
141.101.90.99,post.mil.gov.ua
23.1.69.50,customs.gov.ua
141.105.133.34,rksr.gov.ua
141.105.133.34,rozdilna-rada.gov.ua
141.105.134.74,mail.kamsr.gov.ua
141.105.134.74,limanskasr.gov.ua
141.105.134.74,mail.limanskasr.gov.ua
141.105.134.74,mail.rksr.gov.ua
141.105.134.74,rksr.gov.ua
141.105.134.74,rozdilna-rada.gov.ua
34.42.253.163,u24app.gov.ua
34.42.253.163,u24app.gov.ua
23.1.221.58,customs.gov.ua
23.2.16.179,scpc.gov.ua
23.2.92.114,customs.gov.ua
23.2.97.211,customs.gov.ua
23.2.184.105,customs.gov.ua
23.2.184.105,help.customs.gov.ua
84.32.84.6,obcity.gov.ua
23.2.221.152,customs.gov.ua
35.156.111.1,mpu.gov.ua
23.3.68.149,cip.gov.ua
23.3.68.152,cip.gov.ua
23.3.89.99,ucrf.gov.ua
35.156.193.160,prozorro.gov.ua
35.156.193.160,sign-to-doc.prozorro.gov.ua
35.156.226.113,reserveplus.gov.ua
23.4.73.37,customs.gov.ua
23.4.152.247,customs.gov.ua
23.4.225.222,customs.gov.ua
23.5.11.123,customs.gov.ua
23.6.1.150,customs.gov.ua
23.6.72.239,customs.gov.ua
141.136.45.16,industry.obcity.gov.ua
141.136.45.16,industry.obcity.gov.ua
141.136.45.16,industry.obcity.gov.ua
141.136.45.16,svitlyachok.obcity.gov.ua
141.136.45.16,svitlyachok.obcity.gov.ua
141.136.45.16,svitlyachok.obcity.gov.ua
23.6.191.145,customs.gov.ua
23.6.191.145,customs.gov.ua
23.6.236.176,customs.gov.ua
35.157.39.57,lb.stage.rps.mod.gov.ua
35.157.39.57,lb.stage.rps.mod.gov.ua
35.157.51.237,eds.prozorro.gov.ua
35.157.51.237,sign-to-doc.prozorro.gov.ua
35.157.51.237,prozorro.gov.ua
23.6.248.191,customs.gov.ua
35.157.83.142,api.envone.dev.registry.eua.gov.ua
23.7.9.42,customs.gov.ua
35.157.146.182,net.gov.ua
35.157.165.145,api.envfour.dev.registry.eua.gov.ua
23.7.61.189,customs.gov.ua
35.157.180.252,mil-tech.gov.ua
23.7.70.93,customs.gov.ua
35.157.220.204,edki.gov.ua
35.158.6.176,api.okd-deploy-mcip.aws.okd.mcip.gov.ua
35.158.24.69,mil-tech.gov.ua
35.158.60.208,api.envtwo.dev.registry.eua.gov.ua
35.158.68.167,museum.mms.gov.ua
35.158.68.167,www.museum.mms.gov.ua
35.158.68.167,parks.sportforall.gov.ua
35.158.68.167,archive.sportforall.gov.ua
35.158.68.167,rehab.sportforall.gov.ua
35.158.68.167,sportforall.gov.ua
35.158.68.167,survey.sportforall.gov.ua
35.158.68.167,test.sportforall.gov.ua
35.158.68.167,work.sportforall.gov.ua
35.158.68.167,www.museum.mms.gov.ua
35.158.68.167,museum.mms.gov.ua
35.158.68.167,archive.sportforall.gov.ua
35.158.68.167,parks.sportforall.gov.ua
35.158.68.167,rehab.sportforall.gov.ua
35.158.68.167,survey.sportforall.gov.ua
35.158.68.167,test.sportforall.gov.ua
35.158.68.167,sportforall.gov.ua
35.158.68.167,work.sportforall.gov.ua
23.7.138.74,customs.gov.ua
23.7.148.201,customs.gov.ua
35.158.147.122,eds.prozorro.gov.ua
35.158.147.122,prozorro.gov.ua
35.158.147.122,sign-to-doc.prozorro.gov.ua
35.158.147.122,www.prozorro.gov.ua
35.158.151.207,etr.gov.ua
23.7.219.82,customs.gov.ua
35.158.171.84,content.gdadev.testdev.mod.gov.ua
35.158.184.153,mvs.gov.ua
23.7.242.187,customs.gov.ua
23.7.244.194,reestrnpa.gov.ua
23.7.244.194,reestrnpa.gov.ua
23.7.244.246,tax.gov.ua
23.7.244.246,tax.gov.ua
23.7.244.246,tax.gov.ua
35.158.230.63,api.ans-test6x9-195-3.sandbox.registry.eua.gov.ua
23.8.33.22,customs.gov.ua
35.159.16.166,gitlab.e-pamiatka.gov.ua
35.159.16.166,gitlab.e-pamiatka.gov.ua
35.159.16.166,gitlab.e-pamiatka.gov.ua
35.159.148.184,api.third.edu.registry.eua.gov.ua
35.159.151.88,admin.dity.gov.ua
35.159.151.88,admin.dity.gov.ua
35.159.186.178,dity.gov.ua
35.159.186.178,www.dity.gov.ua
35.159.186.178,dity.gov.ua
35.159.186.178,www.dity.gov.ua
141.144.255.240,helps.sm.gov.ua
141.144.255.240,www.helps.sm.gov.ua
23.9.115.11,customs.gov.ua
190.98.160.130,cip.gov.ua
190.98.160.131,cip.gov.ua
190.98.160.154,hsc.gov.ua
190.98.160.161,hsc.gov.ua
93.78.205.178,finpl.gov.ua
93.78.206.30,cbd2.agrex.gov.ua
23.10.152.252,customs.gov.ua
141.170.228.218,pvo.gov.ua
23.10.216.252,customs.gov.ua
23.10.232.206,customs.gov.ua
23.11.57.18,customs.gov.ua
23.11.207.237,publicfinance.gov.ua
23.11.207.240,publicfinance.gov.ua
23.11.215.18,archives.gov.ua
23.11.215.41,scpc.gov.ua
23.11.215.49,archives.gov.ua
23.11.215.88,media.loda.gov.ua
23.11.215.97,voladm.gov.ua
23.11.215.98,voladm.gov.ua
23.11.215.105,media.loda.gov.ua
23.11.215.113,scpc.gov.ua
23.11.215.136,mof.gov.ua
23.11.215.136,scpc.gov.ua
23.11.215.137,cip.gov.ua
23.11.215.137,echerha.gov.ua
23.11.215.137,edata.gov.ua
23.11.215.137,publicfinance.gov.ua
23.11.215.138,voladm.gov.ua
23.11.215.139,media.loda.gov.ua
23.11.215.145,mof.gov.ua
23.11.215.145,scpc.gov.ua
23.11.215.147,president.gov.ua
23.11.215.147,president.gov.ua
23.11.215.154,edata.gov.ua
23.11.215.154,media.loda.gov.ua
23.11.215.154,publicfinance.gov.ua
23.11.215.154,bonds.gov.ua
23.11.215.154,openbudget.gov.ua
23.11.215.154,spending.gov.ua
23.11.215.155,president.gov.ua
23.11.215.155,president.gov.ua
23.11.215.155,voladm.gov.ua
23.11.215.217,cip.gov.ua
23.11.215.218,echerha.gov.ua
23.11.215.219,bonds.gov.ua
23.11.215.219,openbudget.gov.ua
23.11.215.219,spending.gov.ua
23.11.231.138,media.loda.gov.ua
23.12.155.30,customs.gov.ua
23.12.216.177,bi.customs.gov.ua
23.12.216.177,customs.gov.ua
184.24.12.217,customs.gov.ua
23.13.73.3,customs.gov.ua
184.24.27.83,customs.gov.ua
23.13.158.205,customs.gov.ua
23.14.72.226,customs.gov.ua
23.14.113.227,customs.gov.ua
184.24.192.239,customs.gov.ua
23.14.206.153,customs.gov.ua
23.15.42.130,customs.gov.ua
184.25.40.252,customs.gov.ua
184.25.102.8,openbudget.gov.ua
184.25.102.24,openbudget.gov.ua
57.153.15.210,academy.nszu.gov.ua
23.15.241.10,szru.gov.ua
23.15.241.99,szru.gov.ua
57.153.69.143,lb-dev.streaming.delta.mil.gov.ua
57.153.83.233,ms-dev.streaming.delta.mil.gov.ua
57.153.92.141,lb-stg.streaming.delta.mil.gov.ua
57.153.128.81,ms-stg.streaming.delta.mil.gov.ua
57.153.129.34,lk-stg.streaming.delta.mil.gov.ua
184.25.136.181,customs.gov.ua
57.154.54.226,alarm.kam.gov.ua
57.154.54.226,alarm.kam.gov.ua
87.76.65.158,golosiiv.gov.ua
87.76.65.158,www.golosiiv.gov.ua
87.76.66.46,gupp.gov.ua
87.76.67.109,mail.gupp.gov.ua
87.76.67.109,relay.gupp.gov.ua
184.26.54.121,echerha.gov.ua
184.26.54.122,echerha.gov.ua
35.172.214.127,easy.gov.ua
35.172.214.127,www.easy.gov.ua
23.21.187.58,easy.gov.ua
184.26.91.230,scpc.gov.ua
184.26.162.149,autobus.gov.ua
184.26.185.250,customs.gov.ua
184.26.225.105,customs.gov.ua
35.177.65.36,ap-stage.sportforall.gov.ua
184.28.43.156,customs.gov.ua
184.28.114.19,archives.gov.ua
184.28.114.49,archives.gov.ua
184.28.114.67,amcu.gov.ua
184.28.114.67,amcu.gov.ua
184.28.114.88,amcu.gov.ua
184.28.114.88,amcu.gov.ua
23.32.5.168,echerha.gov.ua
23.32.5.173,echerha.gov.ua
23.32.20.17,voladm.gov.ua
23.32.20.19,bonds.gov.ua
23.32.20.48,hsc.gov.ua
23.32.20.59,bonds.gov.ua
23.32.20.65,fiu.gov.ua
23.32.20.66,loda.gov.ua
23.32.20.72,fiu.gov.ua
23.32.29.8,szru.gov.ua
23.32.38.139,l2vpn.patrolpolice.gov.ua
23.32.74.122,scpc.gov.ua
23.32.74.123,scpc.gov.ua
184.29.30.252,customs.gov.ua
34.78.139.101,adminposluga.gov.ua
34.78.139.101,cnap.askaniya-nova-gromada.gov.ua
34.78.139.101,cnap.balta-rada.gov.ua
34.78.139.101,bdmr.gov.ua
34.78.139.101,cnap.bilycka-gromada.gov.ua
34.78.139.101,cnap.borozenska-gromada.gov.ua
34.78.139.101,bratslav-rada.gov.ua
34.78.139.101,www.bratslav-rada.gov.ua
34.78.139.101,brd.gov.ua
34.78.139.101,site.brovary-rada.gov.ua
34.78.139.101,bychkivrada.gov.ua
34.78.139.101,cnap.chornuhynska-gromada.gov.ua
34.78.139.101,www.bychkivrada.gov.ua
34.78.139.101,svoi.chuguiv-gromada.gov.ua
34.78.139.101,cnap.chulakivska-gromada.gov.ua
34.78.139.101,cnap.chutivska-gromada.gov.ua
34.78.139.101,cnap.cmr.gov.ua
34.78.139.101,od.cmr.gov.ua
34.78.139.101,cnap-dykanka.gov.ua
34.78.139.101,cnap-biloteg.gov.ua
34.78.139.101,cnap-komyshnya.gov.ua
34.78.139.101,cnap-konotop.gov.ua
34.78.139.101,cnap-krasnolucka-rada.gov.ua
34.78.139.101,cnap-pomoryany.gov.ua
34.78.139.101,cnap-resh.gov.ua
34.78.139.101,cnap-romodan.gov.ua
34.78.139.101,cnapkhorol.gov.ua
34.78.139.101,cnapvelykosorochynska-gromada.gov.ua
34.78.139.101,cnap.daryivska-gromada.gov.ua
34.78.139.101,cnap.dovzhanska-gromada.gov.ua
34.78.139.101,cnap.drabynivska-gromada.gov.ua
34.78.139.101,dtg.gov.ua
34.78.139.101,dubove.gov.ua
34.78.139.101,cnap.genich-rada.gov.ua
34.78.139.101,gromada.en.gov.ua
34.78.139.101,cnap.gogolivska-gromada.gov.ua
34.78.139.101,cnap.gornostaivska-gromada.gov.ua
34.78.139.101,haisyn-municipality.gov.ua
34.78.139.101,cnap.hadiach-rada.gov.ua
34.78.139.101,cnap.grygorivska-gromada.gov.ua
34.78.139.101,www.haisyn-municipality.gov.ua
34.78.139.101,cnap.hoshcha-rada.gov.ua
34.78.139.101,tsnap.hrebinkivska-mrada.gov.ua
34.78.139.101,illintsi-mrada.gov.ua
34.78.139.101,www.illintsi-mrada.gov.ua
34.78.139.101,cnap.ivanivka-gromada.gov.ua
34.78.139.101,cnap.kalanchacka-gromada.gov.ua
34.78.139.101,cnap.kalynivske-gromada.gov.ua
34.78.139.101,cnap.kampot-rad.gov.ua
34.78.139.101,cnap.karlivka-mrada.gov.ua
34.78.139.101,karolino-bugazka-gromada.gov.ua
34.78.139.101,cnap.kegichivskaselrada.gov.ua
34.78.139.101,www.karolino-bugazka-gromada.gov.ua
34.78.139.101,alt.kobelyaky-miskrada.gov.ua
34.78.139.101,kobelyaky-miskrada.gov.ua
