ip_address,domain
43.132.205.118,mail.uaau.go.ug
84.32.84.11,pre.embassy.go.ug
84.32.84.14,diasporaaffairs.go.ug
84.32.84.16,diasporaaffairs.go.ug
41.173.1.158,mail1.kee.go.ug
190.92.172.107,asl.caa.go.ug
190.92.172.107,autodiscover.asl.caa.go.ug
190.92.172.107,autodiscover.caa.go.ug
190.92.172.107,autodiscover.careers.caa.go.ug
190.92.172.107,caa.go.ug
190.92.172.107,careers.caa.go.ug
190.92.172.107,cedp.go.ug
190.92.172.107,cpanel.asl.caa.go.ug
190.92.172.107,cpanel.caa.go.ug
190.92.172.107,cpanel.careers.caa.go.ug
190.92.172.107,cpcalendars.asl.caa.go.ug
190.92.172.107,cpcalendars.caa.go.ug
190.92.172.107,cpcalendars.careers.caa.go.ug
190.92.172.107,cpcontacts.asl.caa.go.ug
190.92.172.107,cpcontacts.caa.go.ug
190.92.172.107,cpcontacts.careers.caa.go.ug
190.92.172.107,old.caa.go.ug
190.92.172.107,recruitment.caa.go.ug
190.92.172.107,reporter.asl.caa.go.ug
190.92.172.107,reporter3.asl.caa.go.ug
190.92.172.107,sofia.caa.go.ug
190.92.172.107,webdisk.asl.caa.go.ug
190.92.172.107,webdisk.caa.go.ug
190.92.172.107,webdisk.careers.caa.go.ug
190.92.172.107,webmail.asl.caa.go.ug
190.92.172.107,webmail.caa.go.ug
190.92.172.107,webmail.careers.caa.go.ug
190.92.172.107,www.recruitment.caa.go.ug
190.92.172.107,www.old.caa.go.ug
190.92.172.107,www.reporter.asl.caa.go.ug
190.92.172.107,www.sofia.caa.go.ug
190.92.172.107,www.reporter3.asl.caa.go.ug
190.92.172.107,asl.caa.go.ug
190.92.172.107,asl.caa.go.ug
190.92.172.107,autodiscover.caa.go.ug
190.92.172.107,autodiscover.careers.caa.go.ug
190.92.172.107,caa.go.ug
190.92.172.107,careers.caa.go.ug
190.92.172.107,autodiscover.asl.caa.go.ug
190.92.172.107,cedp.go.ug
190.92.172.107,cpanel.asl.caa.go.ug
190.92.172.107,cpanel.caa.go.ug
190.92.172.107,cpanel.careers.caa.go.ug
190.92.172.107,cpcalendars.asl.caa.go.ug
190.92.172.107,cpcalendars.caa.go.ug
190.92.172.107,cpcalendars.careers.caa.go.ug
190.92.172.107,cpcontacts.asl.caa.go.ug
190.92.172.107,cpcontacts.caa.go.ug
190.92.172.107,cpcontacts.careers.caa.go.ug
190.92.172.107,reporter.asl.caa.go.ug
190.92.172.107,reporter3.asl.caa.go.ug
190.92.172.107,sofia.caa.go.ug
190.92.172.107,webdisk.asl.caa.go.ug
190.92.172.107,webdisk.caa.go.ug
190.92.172.107,webdisk.careers.caa.go.ug
190.92.172.107,webmail.asl.caa.go.ug
190.92.172.107,webmail.caa.go.ug
190.92.172.107,webmail.careers.caa.go.ug
190.92.172.107,www.reporter.asl.caa.go.ug
190.92.172.107,www.reporter3.asl.caa.go.ug
190.92.172.107,www.sofia.caa.go.ug
143.198.50.97,start.go.ug
143.198.50.97,start.go.ug
143.198.149.25,serere.go.ug
143.198.149.25,www.serere.go.ug
41.186.86.12,ereg.dit.go.ug
41.186.86.12,osrs.unmeb.go.ug
41.186.86.12,www.ereg.dit.go.ug
41.186.86.12,ereg.dit.go.ug
41.186.86.12,osrs.unmeb.go.ug
41.190.128.106,tech.petroleum.go.ug
41.190.128.110,clients.petroleum.go.ug
41.190.132.250,tickets.kee.go.ug
41.190.132.250,tickets.kee.go.ug
41.190.132.250,tickets.kee.go.ug
41.190.136.105,pepd-fw.petroleum.go.ug
41.190.136.106,nzizi.petroleum.go.ug
41.190.144.114,cims.unbs.go.ug
41.190.144.114,lims.unbs.go.ug
41.190.144.114,standards.unbs.go.ug
41.190.144.115,mail.unbs.go.ug
41.190.144.115,mail2.unbs.go.ug
41.190.144.115,mail3.unbs.go.ug
41.190.144.115,mail.unbs.go.ug
41.190.144.116,sandbox.unbs.go.ug
41.190.144.117,unbs.go.ug
41.190.144.115,unbs.go.ug
41.190.144.118,unbs.go.ug
41.190.144.119,unbs.go.ug
41.190.144.120,unbs.go.ug
41.190.144.121,eportal.unbs.go.ug
41.190.144.121,unbs.go.ug
41.190.144.122,unbs.go.ug
41.190.144.122,webstore.unbs.go.ug
41.190.144.123,unbs.go.ug
41.190.144.124,unbs.go.ug
41.190.144.125,unbs.go.ug
41.190.144.126,unbs.go.ug
41.190.144.116,unbs.go.ug
41.202.233.35,unbs.go.ug
41.202.233.36,nml.unbs.go.ug
41.202.233.108,singlewindow.go.ug
41.202.240.99,hmis2.health.go.ug
41.202.240.98,hmis10.health.go.ug
41.202.240.101,hmis1.health.go.ug
41.202.240.122,www.pau.go.ug
41.202.240.122,pau.go.ug
41.202.240.102,hmis3.health.go.ug
110.238.76.187,esc.go.ug
110.238.76.187,udcboard.go.ug
110.238.76.187,www.udcboard.go.ug
110.238.76.187,www.esc.go.ug
41.210.149.166,cloud.euws.go.ug
41.210.149.166,euws.go.ug
41.210.149.166,uws.go.ug
41.210.149.166,uws.go.ug
41.210.149.166,cloud.euws.go.ug
41.210.149.166,collabora.euws.go.ug
41.210.149.166,euws.go.ug
41.210.149.166,hbe.euws.go.ug
41.210.149.166,hpb.euws.go.ug
41.210.149.166,monitor.euws.go.ug
41.210.149.166,projects.euws.go.ug
41.210.160.198,mail.opm.go.ug
41.210.161.98,mail.ppda.go.ug
41.210.163.226,outputs.iras.go.ug
41.210.163.226,files.iras.go.ug
41.210.163.226,files.iras.go.ug
41.210.163.226,outputs.iras.go.ug
41.210.171.164,mail1.urc.go.ug
41.210.171.166,mail1.urc.go.ug
41.210.171.167,mail1.urc.go.ug
41.210.172.58,mailserver.cedp.go.ug
41.210.175.254,mail.education.go.ug
41.210.176.140,collab-edge.conference-2-StandAloneCluster89495.kcca.go.ug
41.210.176.140,collab-edge.kcca.go.ug
41.210.176.140,kcca.go.ug
41.210.176.140,vcsc.kcca.go.ug
41.210.176.140,vcse.kcca.go.ug
41.210.189.180,nsis.nira.go.ug
41.210.189.180,nsis.nira.go.ug
41.217.237.101,mail.mediacentre.go.ug
41.220.3.87,api.osc.sti.go.ug
41.220.3.87,osc.sti.go.ug
41.220.3.87,osc.sti.go.ug
41.220.3.87,api.osc.sti.go.ug
41.220.3.181,api.stg.osc.sti.go.ug
41.220.3.181,stg.osc.sti.go.ug
41.220.3.181,api.stg.osc.sti.go.ug
41.220.3.181,stg.osc.sti.go.ug
41.220.14.11,mail.firi.go.ug
41.221.92.82,mail.era.go.ug
184.26.91.58,pay.go.ug
84.32.84.45,beijing.embassy.go.ug
84.32.84.59,dev.embassy.go.ug
84.32.84.59,dev.embassy.go.ug
93.127.173.41,nairobi.embassy.go.ug
84.32.84.92,dev.embassy.go.ug
84.32.84.92,dev.embassy.go.ug
84.32.84.148,brussels.embassy.go.ug
93.127.179.93,london.embassy.go.ug
84.32.84.152,dubai.embassy.go.ug
135.125.140.191,urc.go.ug
135.125.140.191,www.budget.urc.go.ug
135.125.140.191,www.mail1.urc.go.ug
135.125.140.191,www.mail2.urc.go.ug
135.125.140.191,www.mail3.urc.go.ug
135.125.140.191,www.sun.urc.go.ug
135.125.140.191,www.web.urc.go.ug
93.127.187.93,brussels.embassy.go.ug
85.25.203.151,fisheries.go.ug
85.25.203.151,www.fisheries.go.ug
85.25.203.151,fisheries.go.ug
85.25.203.151,www.fisheries.go.ug
84.32.84.199,milan.embassy.go.ug
84.32.84.227,milan.embassy.go.ug
