ip_address,domain
2a00:7580:60:2141::12,metang.itu.int
2a00:7580:60:2141::12,w6.itu.int
2a00:7580:60:2141::12,www.itu.int
2a00:7580:60:2141::12,www6.itu.int
2a00:7580:60:2141::12,www4.itu.int
2a00:7580:60:2141::14,metang.itu.int
2a00:7580:60:2141::14,v6.itu.int
2a00:7580:60:2141::14,w6.itu.int
2a00:7580:60:2141::14,www4.itu.int
2a00:7580:60:2141::14,www6.itu.int
2a00:7580:60:a252::3244,oauth.itu.int
2a00:7580:60:a252::3250,handle.itu.int
2a00:7580:60:a252::3250,handle-test.itu.int
2a00:7580:60:a252::3251,login.itu.int
2a00:7580:60:a252::3252,auth.itu.int
211.24.11.98,vconnect-node3.who.int
211.24.11.98,who.int
211.24.11.98,vconnect-kl.who.int
211.24.11.99,vconnect-kl.who.int
211.24.11.99,who.int
211.24.11.99,vconnect-node4.who.int
211.24.11.120,whqdns3.who.int
84.14.163.51,mailhost.lyon.who.int
141.101.63.71,congres2016.upu.int
141.101.63.71,congresdoha.upu.int
141.101.63.71,congress2016.upu.int
141.101.63.71,dohacongress.upu.int
141.101.63.71,noticias.upu.int
141.101.63.71,strategie2015.upu.int
141.101.63.71,strategy2015.upu.int
141.101.63.72,test.upu.int
44.220.103.48,iris.who.int
35.156.4.11,alb.vn.ipas-acc.ipobs.acc.web1.wipo.int
35.156.6.211,api.arab.wipopublish-acc.ipobs.acc.web1.wipo.int
35.156.8.92,api.ls.ipas-prd.ipobs.prd.web1.wipo.int
35.156.10.241,alb.bw.wipopublish-dev.ipobs.dev.web1.wipo.int
35.156.12.45,api.bd.ipas-acc.ipobs.acc.web1.wipo.int
35.156.14.175,iims.ipobs.prd.web1.wipo.int
35.156.15.201,alb-offices.ehague1.hague.dev.web1.wipo.int
35.156.17.38,api.gdd.globaldb.acc.web1.wipo.int
35.156.20.56,pct-aws-cor-trunk.pct.dev.web1.wipo.int
35.156.24.159,epct.pct.prd.web1.wipo.int
35.156.25.225,web.madridefiling.madrid.acc.web1.wipo.int
35.156.32.86,app.inspire.sak.prd.web1.wipo.int
35.156.33.173,api.bw.ipas-acc.ipobs.acc.web1.wipo.int
35.156.35.225,restapi.wipopearl.pct.dev.web1.wipo.int
35.156.38.245,epct.pct.demo.web1.wipo.int
35.156.39.84,alb.ph.ipas-acc.ipobs.acc.web1.wipo.int
35.156.40.77,amc-1.arb.dev.web1.wipo.int
35.156.44.22,api.bh.ipas-preprod.ipobs.acc.web1.wipo.int
35.156.45.53,api.lr.ipas-acc.ipobs.acc.web1.wipo.int
35.156.46.246,api.vc.ipas-prd.ipobs.prd.web1.wipo.int
35.156.51.114,adminapi.pluto.upov.acc.web1.wipo.int
35.156.52.207,amc-2.arb.prd.web1.wipo.int
35.156.54.216,alb.ec.ipas-acc.ipobs.acc.web1.wipo.int
