ip_address,domain
190.0.130.69,dns.mtss.gub.uy
190.0.130.69,mtss.gub.uy
190.0.131.98,ns1.mtop.gub.uy
190.0.131.99,ns2.mtop.gub.uy
190.0.131.101,ferrocarrilcentral.mtop.gub.uy
190.0.131.101,mtop.gub.uy
190.0.131.101,www.mtop.gub.uy
190.0.131.101,mtop.gub.uy
190.0.131.105,correo.mtop.gub.uy
190.0.131.105,correo.mtop.gub.uy
190.0.131.105,mtop.gub.uy
190.0.131.106,mtop.gub.uy
190.0.131.106,rfa.mtop.gub.uy
190.0.131.108,archivo.mtop.gub.uy
190.0.131.108,mtop.gub.uy
190.0.131.108,planos.mtop.gub.uy
190.0.131.108,tesauro.mtop.gub.uy
190.0.131.108,tesaurovisual.mtop.gub.uy
190.0.131.109,mtop.gub.uy
190.0.131.109,sgapnp.mtop.gub.uy
190.0.131.113,mail2.mtop.gub.uy
190.0.131.113,mail.dnt.gub.uy
190.0.131.113,mail.dntopografia.gub.uy
190.0.131.113,mail2.mtop.gub.uy
190.0.131.113,mtop.gub.uy
190.0.131.115,mtop.gub.uy
190.0.131.115,webmail.mtop.gub.uy
190.0.131.122,geoportal.mtop.gub.uy
190.0.131.122,mtop.gub.uy
190.0.131.125,mtop.gub.uy
190.0.131.125,geoservicios.mtop.gub.uy
190.0.132.195,oc2.anv.gub.uy
190.0.132.196,cloud.anv.gub.uy
190.0.132.220,archivos.anv.gub.uy
190.0.132.221,test.anv.gub.uy
190.0.132.222,ws-test.anv.gub.uy
190.0.137.66,exodia.bcu.gub.uy
190.0.137.66,exodia.bcu.gub.uy
190.0.137.69,automatix.bcu.gub.uy
190.0.137.69,automatix.bcu.gub.uy
190.0.137.70,bvrietest.bcu.gub.uy
190.0.137.70,bvrietest.bcu.gub.uy
190.0.137.72,consultadeuda.bcu.gub.uy
190.0.137.76,consultasydenuncias.bcu.gub.uy
190.0.137.77,vmgwsendmail2.bcu.gub.uy
190.0.137.77,vmgwsendmail2.bcu.gub.uy
190.0.137.79,morosos.bcu.gub.uy
190.0.137.79,morosos.bcu.gub.uy
190.0.137.77,vmgwsendmail2.externo.bcu.gub.uy
190.0.137.82,bcu.gub.uy
190.0.137.82,portal.bcu.gub.uy
190.0.137.82,portal.bcu.gub.uy
190.0.137.84,bcu.gub.uy
190.0.137.84,vpn.bcu.gub.uy
190.0.137.85,atlante.bcu.gub.uy
190.0.137.86,bcu.gub.uy
190.0.137.85,atlante.bcu.gub.uy
190.0.137.86,valores.bcu.gub.uy
190.0.137.87,bcu.gub.uy
190.0.137.87,biblioteca.bcu.gub.uy
190.0.137.90,bcu.gub.uy
190.0.137.93,bcu.gub.uy
190.0.137.93,bcu.gub.uy
190.0.137.94,cuadrix.bcu.gub.uy
190.0.138.96,correo.comercio.gub.uy
190.0.138.98,correo.comercio.gub.uy
190.0.138.98,correo.comercio.gub.uy
190.0.138.101,comercio.gub.uy
190.0.138.106,mail.comercio.gub.uy
190.0.138.110,zonanuevapalmira.gub.uy
190.0.138.118,eudec.consumidor.gub.uy
190.0.138.118,comercio.gub.uy
190.0.138.118,eudec.consumidor.gub.uy
190.0.138.118,eudec.comercio.gub.uy
190.0.140.240,d2c2.gub.uy
190.0.140.240,dicyt.gub.uy
190.0.140.240,jano.conicyt.gub.uy
190.0.140.240,jano.d2c2.gub.uy
190.0.140.240,ns1.cnea.gub.uy
190.0.140.240,jano.dicyt.gub.uy
190.0.140.240,ns1.d2c2.gub.uy
190.0.140.240,ns1.ddcc.gub.uy
190.0.140.240,ns1.dicyt.gub.uy
190.0.140.241,antares.dicyt.gub.uy
190.0.140.241,antares.d2c2.gub.uy
190.0.140.241,mail.ddcc.gub.uy
190.0.140.241,mail.oalm.gub.uy
190.0.140.241,mail.d2c2.gub.uy
190.0.140.241,mercurio.conicyt.gub.uy
190.0.140.241,mercurio.d2c2.gub.uy
190.0.140.241,ns1.conicyt.gub.uy
190.0.140.241,ns3.cnea.gub.uy
190.0.140.241,ns3.d2c2.gub.uy
190.0.140.241,ns3.conicyt.gub.uy
190.0.140.241,ns3.ddcc.gub.uy
190.0.140.241,ns3.dicyt.gub.uy
190.0.140.241,ns3.oalm.gub.uy
190.0.140.242,artemisa.cnea.gub.uy
190.0.140.242,artemisa.conicyt.gub.uy
190.0.140.242,conicyt.gub.uy
190.0.140.242,cnea.gub.uy
190.0.140.242,artemisa.d2c2.gub.uy
190.0.145.38,autodiscover.bhu.gub.uy
190.0.145.38,owa2.bhu.gub.uy
190.0.145.41,apps.bhu.gub.uy
190.0.148.71,sucive.gub.uy
190.0.148.71,testing.sucive.gub.uy
190.0.148.130,sucive.gub.uy
190.0.148.196,mides.gub.uy
190.0.148.199,apps2.mides.gub.uy
190.0.148.199,injugermina.gub.uy
190.0.148.199,injugermina.gub.uy
190.0.148.199,apps.mides.gub.uy
190.0.148.199,apps2.mides.gub.uy
190.0.148.199,cuidadosuy.sistemadecuidados.gub.uy
190.0.148.199,injugermina.gub.uy
