ip_address,domain
184.84.165.253,mail.oessh.va
108.181.134.253,as40676.lg.va
127.0.0.1,localhost.vatican.va
81.91.177.44,kuzmin.va
192.229.211.243,media.vaticannews.va
192.229.211.243,tts.vaticannews.va
192.229.211.243,www.vaticannews.va
13.107.246.38,sl.radiovaticana.va
137.116.211.8,booking.basilicasanpietro.va
137.116.211.8,booking.basilicasanpietro.va
137.116.211.8,booking.basilicasanpietro.va
208.91.112.55,khe.va
208.91.112.55,ffm.hlys.arounduniversity.lpru.ac.th.jic.va
208.91.112.55,vaipure.va
104.18.16.14,autodiscover.vaticanstate.va
104.18.16.14,vaticanstate.va
104.18.16.14,vaticanstate.va
104.18.16.14,vaticanstate.va
104.18.17.14,autodiscover.vaticanstate.va
104.18.17.14,vaticanstate.va
104.18.17.14,vaticanstate.va
104.18.17.14,vaticanstate.va
104.18.24.139,www.archivioradiovaticana.va
79.125.23.119,admin.news.va
104.18.25.139,www.archivioradiovaticana.va
104.18.28.148,register.iubilaeum2025.va
104.18.28.148,register.iubilaeum2025.va
188.114.98.228,vaticanstate.va
104.18.29.148,register.iubilaeum2025.va
104.18.29.148,register.iubilaeum2025.va
188.114.99.228,vaticanstate.va
212.77.0.1,multigigapop-re.vatican.va
212.77.0.1,multigigapop-re.vatican.va
212.77.0.2,michael.vatican.va
212.77.0.2,michael.vatican.va
212.77.0.2,michael.vatican.va
212.77.0.3,multigigapop1.vatican.va
212.77.0.3,multigigapop1.vatican.va
212.77.0.5,multigigapop2.vatican.va
212.77.0.7,dns2.vatican.va
212.77.0.7,dns2.vatican.va
212.77.0.41,ntp-01.pop.va
212.77.0.42,ntp-02.pop.va
212.77.0.110,john.vatican.va
212.77.0.110,john.vatican.va
212.77.0.110,john.vatican.va
212.77.0.160,michele.vatican.va
212.77.0.160,michele.vatican.va
212.77.0.161,dotto.vatican.va
212.77.0.161,dotto.vatican.va
212.77.0.162,eolo.vatican.va
212.77.0.254,gigapop.vatican.va
212.77.0.254,gigapop.vatican.va
212.77.0.162,eolo.vatican.va
212.77.1.21,iwc2.vatican.va
212.77.1.21,iwc2-21.catholica.va
212.77.1.21,iwc2-21.catholica.va
212.77.1.21,iwc2.vatican.va
212.77.1.22,iwc2-22.catholica.va
212.77.1.22,iwc2.vatican.va
212.77.1.22,iwc2-22.catholica.va
212.77.1.22,iwc2.vatican.va
212.77.1.26,srom.vatican.va
212.77.1.26,srom.vatican.va
212.77.1.31,iwc2.vatican.va
