ip_address,domain
66.36.240.17,psdp.gov.vg
66.36.243.58,www.psdp.gov.vg
199.36.158.100,wqvi.gov.vg
199.36.158.100,wqvi.gov.vg
192.168.0.1,mail.vishipping.gov.vg
13.88.234.224,api.bvifars.gov.vg
208.158.8.48,www.hr.gov.vg
162.144.235.201,publichealth.gov.vg
76.76.21.21,bviedcard.gov.vg
76.76.21.21,bviedcard.gov.vg
76.76.21.21,bviedcard.gov.vg
64.226.101.2,customs.gov.vg
64.226.101.4,isu.gov.vg
64.226.101.4,isu.gov.vg
206.214.27.35,inotes.bvi.gov.vg
206.214.27.35,inotes.bvi.gov.vg
206.214.27.36,www.bvi.gov.vg
206.214.27.36,eregisterfortax.gov.vg
206.214.27.36,www.bvifars.gov.vg
206.214.27.36,www.efiling.gov.vg
206.214.27.36,eregisterfortax.gov.vg
206.214.27.36,www.eregisterfortax.gov.vg
206.214.27.36,gov.vg
206.214.27.36,www.payment.gov.vg
206.214.27.36,isuhelpdesk.gov.vg
206.214.27.37,sametime.bvi.gov.vg
206.214.27.37,www.bvi.gov.vg
206.214.27.37,www.efiling.gov.vg
206.214.27.37,censusandsurvey.gov.vg
206.214.27.37,gov.vg
206.214.27.37,www.payment.gov.vg
206.214.27.37,www.eregisterfortax.gov.vg
206.214.27.38,qp.bvi.gov.vg
206.214.27.38,laws.gov.vg
206.214.27.38,laws.gov.vg
206.214.27.39,payment.gov.vg
206.214.27.38,travelerbvi.gov.vg
206.214.27.40,www.bvi.gov.vg
206.214.27.40,testorch.gov.vg
206.214.27.40,www.efiling.gov.vg
206.214.27.40,www.payment.gov.vg
206.214.27.40,gov.vg
206.214.27.40,testorch.gov.vg
206.214.27.40,www.eregisterfortax.gov.vg
206.214.27.40,testbssv.gov.vg
206.214.27.41,destiny.gov.vg
206.214.27.40,testpay.gov.vg
206.214.27.41,www.bvi.gov.vg
206.214.27.41,destiny.gov.vg
206.214.27.41,www.efiling.gov.vg
206.214.27.41,www.eregisterfortax.gov.vg
206.214.27.41,gov.vg
206.214.27.41,www.payment.gov.vg
206.214.27.41,pschool.gov.vg
206.214.27.42,capsuat.gov.vg
206.214.27.42,www.capsuat.gov.vg
206.214.27.43,mail.gov.vg
206.214.27.43,mail.gov.vg
206.214.27.45,efiling.gov.vg
206.214.27.45,efiling.gov.vg
206.214.27.45,www.bvi.gov.vg
206.214.27.45,www.efiling.gov.vg
206.214.27.45,www.eregisterfortax.gov.vg
206.214.27.45,gov.vg
206.214.27.45,www.payment.gov.vg
206.214.27.46,mail.bviifc.gov.vg
206.214.27.46,www.isutraining.gov.vg
206.214.27.46,isutraining.gov.vg
206.214.27.46,mail.isutraining.gov.vg
206.214.27.46,www.isutraining.gov.vg
206.214.27.47,www.library.gov.vg
206.214.27.47,www.library.gov.vg
206.214.27.48,lotustrans.gov.vg
206.214.27.48,lotustrans.gov.vg
206.214.27.48,mx11.gov.vg
206.214.27.48,www.mx11.gov.vg
206.214.27.49,bviifc.gov.vg
206.214.27.49,finance.gov.vg
206.214.27.49,www.bviifc.gov.vg
206.214.27.49,ftp.bviifc.gov.vg
206.214.27.49,www.bvingis.gov.vg
206.214.27.49,ddm.gov.vg
206.214.27.49,www.ddm.gov.vg
206.214.27.49,test.finance.gov.vg
206.214.27.49,finance.gov.vg
206.214.27.49,www.finance.gov.vg
206.214.27.49,www.test.finance.gov.vg
206.214.27.49,hmcustoms.gov.vg
206.214.27.49,hr.gov.vg
206.214.27.49,www.hmcustoms.gov.vg
206.214.27.49,test.hr.gov.vg
206.214.27.49,www.hr.gov.vg
206.214.27.49,ird.gov.vg
206.214.27.49,www.ird.gov.vg
206.214.27.49,nationalarchives.gov.vg
206.214.27.49,www.nationalarchives.gov.vg
206.214.27.49,www.vishipping.gov.vg
206.214.27.51,bvimapping.gov.vg
206.214.27.51,bvimapping.gov.vg
206.214.27.51,www.bvimapping.gov.vg
206.214.27.51,www.bvimapping.gov.vg
206.214.27.49,www.test.hr.gov.vg
206.214.27.52,www.bviefiling.gov.vg
206.214.27.52,appointments.gov.vg
206.214.27.52,www.appointments.gov.vg
206.214.27.52,www.bvi.gov.vg
206.214.27.52,www.bviefiling.gov.vg
206.214.27.52,www.efiling.gov.vg
206.214.27.52,www.eregisterfortax.gov.vg
206.214.27.52,gov.vg
206.214.27.52,www.payment.gov.vg
206.214.27.52,sms.gov.vg
206.214.27.53,www.services.gov.vg
206.214.27.53,www.bvi.gov.vg
206.214.27.53,www.efiling.gov.vg
206.214.27.53,www.eregisterfortax.gov.vg
206.214.27.53,gov.vg
206.214.27.53,lms.gov.vg
206.214.27.53,www.payment.gov.vg
206.214.27.53,services.gov.vg
206.214.27.53,www.services.gov.vg
206.214.27.55,www.bvi.gov.vg
206.214.27.54,gov.vg
206.214.27.55,www.election.gov.vg
206.214.27.55,bvi.gov.vg
206.214.27.55,gov.vg
206.214.27.55,www.bvi.gov.vg
206.214.27.55,dpu.gov.vg
206.214.27.55,education.gov.vg
206.214.27.55,www.dpu.gov.vg
206.214.27.55,www.efiling.gov.vg
206.214.27.55,election.gov.vg
206.214.27.55,www.education.gov.vg
206.214.27.55,www.eregisterfortax.gov.vg
206.214.27.55,eservices.gov.vg
206.214.27.55,www.eservices.gov.vg
206.214.27.55,gis.gov.vg
206.214.27.55,www.election.gov.vg
206.214.27.55,www.gis.gov.vg
206.214.27.55,gov.vg
206.214.27.55,hoa.gov.vg
206.214.27.55,www.internalaudit.gov.vg
206.214.27.55,ministryofhealth.gov.vg
206.214.27.55,internalaudit.gov.vg
206.214.27.55,www.ministryofhealth.gov.vg
206.214.27.55,tcp.gov.vg
206.214.27.55,www.payment.gov.vg
206.214.27.55,www.tcp.gov.vg
206.214.27.55,www.vi.gov.vg
206.214.27.55,workinparadise.gov.vg
206.214.27.55,workinparadiseapp.gov.vg
206.214.27.56,crisvi.gov.vg
206.214.27.55,www.gov.vg
206.214.27.56,crisvi.gov.vg
206.214.27.56,www.crisvi.gov.vg
206.214.27.56,visr.gov.vg
206.214.27.56,www.visr.gov.vg
206.214.27.57,gnet-vcsex.gov.vg
206.214.27.57,gnet-vcsex.gov.vg
206.214.27.58,agclibrary.gov.vg
206.214.27.58,agclibrary.gov.vg
206.214.27.61,ftp.bvicaps.gov.vg
206.214.27.62,www.bvicaps.gov.vg
206.214.27.62,www.bvicaps.gov.vg
206.214.27.62,www.bvicaps.gov.vg
206.214.27.61,ftp.bvicaps.gov.vg
209.59.65.65,www.gnet.gov.vg
209.59.65.65,gnet.gov.vg
209.59.65.65,www.gnet.gov.vg
