ip_address,domain
72.32.199.247,www.ltg.gov.vi
72.32.246.186,ltg.gov.vi
72.32.246.186,ltg.gov.vi
72.32.246.186,ltg.gov.vi
54.83.61.182,vipd.gov.vi
54.83.61.182,www.vipd.gov.vi
66.185.39.169,sttmail2.gov.vi
66.248.165.17,mail.pcsd.gov.vi
66.248.165.55,www.lepc.gov.vi
66.248.165.55,www.lepc.gov.vi
66.248.165.55,mail.lepc.gov.vi
66.248.165.89,mail01.tcourt.gov.vi
66.248.165.89,mail01.tcourt.gov.vi
66.248.168.228,mail.vipd.gov.vi
66.248.169.133,mail.vipd.gov.vi
66.248.174.122,mail3.dhs.gov.vi
66.248.174.122,mail3.dhs.gov.vi
66.248.184.210,mail1.dhs.gov.vi
65.112.145.96,mail.vilottery.gov.vi
65.112.145.110,vica.gov.vi
65.112.145.110,vica.gov.vi
65.112.145.121,mail.ltg.gov.vi
65.113.91.38,mail02.tcourt.gov.vi
65.113.95.205,senate.gov.vi
65.113.95.205,webserver.senate.gov.vi
65.113.95.205,mail.senate.gov.vi
65.113.95.250,mail.library.gov.vi
65.113.95.250,vials1.library.gov.vi
65.113.95.250,vialspri.library.gov.vi
65.113.95.250,www.library.gov.vi
199.76.13.130,sttmail1.gov.vi
199.76.13.133,gov.vi
199.76.13.133,www.gov.vi
199.76.13.193,mail.pcsd.gov.vi
199.76.13.193,stttechno.pcsd.gov.vi
199.76.14.116,mail.irb.gov.vi
8.26.18.43,STXMFW.VIPD.GOV.VI
8.26.18.131,dhs.gov.vi
8.26.18.131,w3.dhs.gov.vi
8.26.18.131,www.dhs.gov.vi
8.26.19.20,sttmfw.vipd.gov.vi
8.26.19.20,STTMFW.VIPD.GOV.VI
23.235.195.30,ltg.gov.vi
208.50.78.170,irb.gov.vi
208.50.78.170,mail.irb.gov.vi
208.50.78.170,irb.gov.vi
208.50.78.170,mail.irb.gov.vi
208.50.78.172,mail.irb.gov.vi
208.50.78.172,irb.gov.vi
208.50.78.172,mail.irb.gov.vi
208.50.78.200,irb.gov.vi
76.72.252.229,mail.irb.gov.vi
76.72.252.229,mail.irb.gov.vi
12.196.53.115,mailstt.vipd.gov.vi
12.196.53.162,stxfw.vipd.gov.vi
12.196.53.163,mailstx.vipd.gov.vi
12.196.53.163,mailstx.vipd.gov.vi
12.196.53.114,sttfw.vipd.gov.vi
50.62.45.187,dpnr.gov.vi
209.17.138.36,www.antilitter.gov.vi
