ip_address,domain
175.41.152.170,chicucptnt.binhthuan.gov.vn
175.41.152.170,ocop.thainguyen.gov.vn
175.41.152.170,chicucptnt.binhthuan.gov.vn
175.41.152.170,chicucptnt.binhthuan.gov.vn
175.41.152.170,ocop.thainguyen.gov.vn
175.41.152.170,ocop.thainguyen.gov.vn
120.72.86.6,camnang.icti-hcm.gov.vn
120.72.86.137,tphcm.gov.vn
120.72.86.137,vpdt-khunam.tphcm.gov.vn
120.72.86.139,lichcongtac.hochiminhcity.gov.vn
120.72.86.142,tphcm.gov.vn
120.72.86.142,kntc.tphcm.gov.vn
120.72.86.143,dnnn.hochiminhcity.gov.vn
120.72.86.143,tphcm.gov.vn
120.72.86.148,quan2.tphcm.gov.vn
120.72.86.145,quanlygame.ict-hcm.gov.vn
120.72.86.148,tphcm.gov.vn
120.72.86.149,tphcm.gov.vn
120.72.86.159,trade.hochiminhcity.gov.vn
120.72.86.162,lib.hids.hochiminhcity.gov.vn
120.72.86.149,quan2.tphcm.gov.vn
120.72.86.177,dip.tphcm.gov.vn
120.72.86.177,tphcm.gov.vn
120.72.86.179,tiepnhan1022.tphcm.gov.vn
120.72.86.179,tphcm.gov.vn
120.72.86.181,hshc.ict-hcm.gov.vn
120.72.86.181,hshc.ict-hcm.gov.vn
120.72.86.181,ict-hcm.gov.vn
120.72.86.183,cntt.tphcm.gov.vn
120.72.86.183,tphcm.gov.vn
120.72.86.195,iso.icti-hcm.gov.vn.ict-hcm.gov.vn
120.72.86.185,tphcm.gov.vn
120.72.86.195,thumoihop.tphcm.gov.vn
120.72.86.195,phuong1-govap.hochiminhcity.gov.vn
120.72.86.195,canbodaumoitthc.tphcm.gov.vn
120.72.86.195,cqdt-binhtan.tphcm.gov.vn
120.72.86.195,iso.icti-hcm.gov.vn.ict-hcm.gov.vn
120.72.86.195,cuchionline.tphcm.gov.vn
120.72.86.195,duongdaynong.tphcm.gov.vn
120.72.86.195,icti.tphcm.gov.vn
120.72.86.195,hotro.tphcm.gov.vn
120.72.86.195,dvc-quan7.tphcm.gov.vn
120.72.86.195,ketnoiquocgia.tphcm.gov.vn
120.72.86.195,motcuadatdai.tphcm.gov.vn
120.72.86.195,kiosk.quan2.tphcm.gov.vn
120.72.86.195,nncnc.tphcm.gov.vn
120.72.86.195,ppp.tphcm.gov.vn
120.72.86.195,quan11-tructuyen.tphcm.gov.vn
120.72.86.195,quan5.tphcm.gov.vn
120.72.86.195,sqhkt-hscv.tphcm.gov.vn
120.72.86.195,tcip.tphcm.gov.vn
120.72.86.195,thongkelienthong.tphcm.gov.vn
120.72.86.195,tphcm.gov.vn
120.72.86.195,ubnd.tphcm.gov.vn
120.72.86.195,vanphonghvcb.tphcm.gov.vn
120.72.86.195,vpdt-bqlddcn.tphcm.gov.vn
120.72.86.195,vpdt-bqldsdt.tphcm.gov.vn
120.72.86.195,vpdt-btdkt.tphcm.gov.vn
120.72.86.195,vpdt-shtp.tphcm.gov.vn
120.72.86.195,vpdt-svhtt.tphcm.gov.vn
120.72.86.195,vpdt-sotuphap.tphcm.gov.vn
120.72.86.195,vpdt-thanhtra.tphcm.gov.vn
120.72.86.195,vpdt11-snnptnt.tphcm.gov.vn
120.72.86.197,tphcm.gov.vn
120.72.86.197,1022.tphcm.gov.vn
120.72.86.204,hochiminhcity.gov.vn
120.72.86.204,motcua.hochiminhcity.gov.vn
120.72.86.204,tracuuhoso.hochiminhcity.gov.vn
120.72.86.207,hatangbcvt.tphcm.gov.vn
120.72.86.212,thanhdoan.tphcm.gov.vn
120.72.86.214,tphcm.gov.vn
120.72.86.214,vpdt-skhcn.tphcm.gov.vn
120.72.86.216,ipv6.p12quanbinhthanh.gov.vn
120.72.86.215,qlvb.hoinongdan.hochiminhcity.gov.vn
120.72.86.216,dvctt-quan12.hochiminhcity.gov.vn
120.72.86.216,mail.p12quanbinhthanh.gov.vn
120.72.86.216,cpanel.p12quanbinhthanh.gov.vn
120.72.86.216,cpcalendars.p12quanbinhthanh.gov.vn
120.72.86.216,cpcontacts.p12quanbinhthanh.gov.vn
120.72.86.216,ipv6.p12quanbinhthanh.gov.vn
120.72.86.216,dvctt.p12quanbinhthanh.gov.vn
120.72.86.216,mail.p12quanbinhthanh.gov.vn
120.72.86.216,webdisk.p12quanbinhthanh.gov.vn
120.72.86.216,dvctt.phuongbenthanh.gov.vn
120.72.86.216,dvctt.phuongbennghe.gov.vn
120.72.86.216,dvctt.phuongcogiang.gov.vn
120.72.86.216,dvctt.phuongcaukho.gov.vn
120.72.86.216,dvctt.phuongcauonglanh.gov.vn
120.72.86.216,hostmaster.phuongdonghungthuan.gov.vn
120.72.86.216,phuongdonghungthuan.gov.vn
120.72.86.216,phuongdakao.gov.vn
120.72.86.216,dvctt.phuongnguyencutrinh.gov.vn
120.72.86.216,dvctt.phuongnguyenthaibinh.gov.vn
120.72.86.216,dvctt.phuongphamngulao.gov.vn
120.72.86.216,phuongtanthoihiep.gov.vn
120.72.86.216,phuongthanhloc.gov.vn
120.72.86.216,phuongthoian.gov.vn
120.72.86.216,dvctt.tandinh.gov.vn
120.72.86.218,danhgiahailong.hochiminhcity.gov.vn
120.72.86.218,hochiminhcity.gov.vn
120.72.86.219,login.tphcm.gov.vn
120.72.86.224,bctc.ict-hcm.gov.vn
120.72.86.227,tphcm.gov.vn
120.72.86.224,bctc.ict-hcm.gov.vn
120.72.86.235,hshc-quan2.tphcm.gov.vn
120.72.86.233,hotro.icti-hcm.gov.vn
120.72.86.247,ccqltt.tphcm.gov.vn
120.72.86.248,cpxd-phunhuan.hochiminhcity.gov.vn
120.72.86.236,ccvtlt.sonoivu.hochiminhcity.gov.vn
120.72.86.248,cpxd-q3.hochiminhcity.gov.vn
120.72.86.248,cpxd-q4.hochiminhcity.gov.vn
120.72.86.248,cpxd-quan6.hochiminhcity.gov.vn
120.72.86.248,cpxd.nhabe.hochiminhcity.gov.vn
120.72.86.248,cpxd.quan10.hochiminhcity.gov.vn
120.72.86.248,cpxd.quan8.hochiminhcity.gov.vn
120.72.86.248,cpxd.quan11.hochiminhcity.gov.vn
120.72.86.248,cpxd.binhtan.tphcm.gov.vn
120.72.100.129,hochiminhcity.gov.vn
120.72.100.145,hochiminhcity.gov.vn
120.72.116.3,tphcm.gov.vn
120.72.116.12,tphcm.gov.vn
120.72.116.14,tphcm.gov.vn
120.72.116.17,hochiminhcity.gov.vn
120.72.116.18,motcua.tphcm.gov.vn
120.72.116.18,khaosatdvcmc.hochiminhcity.gov.vn
120.72.116.18,dichvucong.hochiminhcity.gov.vn
120.72.116.18,dichvucongportal.hochiminhcity.gov.vn
120.72.116.18,kiosk.hochiminhcity.gov.vn
120.72.116.18,hochiminhcity.gov.vn
120.72.116.18,khaosatdvcmc.hochiminhcity.gov.vn
120.72.116.18,motcua.tphcm.gov.vn
120.72.116.20,tphcm.gov.vn
120.72.116.23,ttqh-thuduc.tphcm.gov.vn
120.72.116.21,vanhoadantoc.tphcm.gov.vn
120.72.116.23,datcong-thuduc.tphcm.gov.vn
120.72.116.23,dothi-thuduc.tphcm.gov.vn
120.72.116.23,ttqh-thuduc.tphcm.gov.vn
120.72.116.24,tphcm.gov.vn
120.72.116.27,cqdt-tpthuduc.tphcm.gov.vn
120.72.116.27,tphcm.gov.vn
120.72.116.32,luutru.tphcm.gov.vn
120.72.116.32,tphcm.gov.vn
120.72.116.33,gisportal.tphcm.gov.vn
120.72.116.33,tphcm.gov.vn
120.72.116.35,tphcm.gov.vn
120.72.116.36,qcrv.ict-hcm.gov.vn
120.72.116.38,app-thuduc.tphcm.gov.vn
120.72.116.38,tphcm.gov.vn
120.72.116.38,vpdt-thuduc.tphcm.gov.vn
120.72.116.42,tphcm.gov.vn
120.72.116.42,motcua-sldtbxh.tphcm.gov.vn
120.72.116.42,tuyentruyenphapluat.tphcm.gov.vn
120.72.116.42,vpdt-snnptnt.tphcm.gov.vn
120.72.116.42,vpdt-attp.tphcm.gov.vn
120.72.116.45,sgtvt.hochiminhcity.gov.vn
120.72.116.45,thongtin-sgtvt.tphcm.gov.vn
120.72.116.35,cchc-sonoivu.tphcm.gov.vn
120.72.116.45,tracuu-sgtvt.tphcm.gov.vn
120.72.116.49,capnhat-dieuhanhktxh.tphcm.gov.vn
120.72.116.49,datastudioktxh.tphcm.gov.vn
120.72.116.49,dieuhanhktxh.tphcm.gov.vn
120.72.116.49,tphcm.gov.vn
120.72.116.56,thuthiem.gov.vn
120.72.116.59,antoandn.tphcm.gov.vn
120.72.116.59,tphcm.gov.vn
120.72.116.64,1022.tphcm.gov.vn
120.72.116.64,cong1022.tphcm.gov.vn
120.72.116.68,chicucthuyloi.tphcm.gov.vn
120.72.116.64,tphcm.gov.vn
120.72.116.68,tphcm.gov.vn
120.72.116.69,tphcm.gov.vn
120.72.116.75,congvan.ict-hcm.gov.vn
120.72.116.75,ict-hcm.gov.vn
120.72.116.80,hochiminhcity.gov.vn
120.72.116.91,cpxd-tpthuduc.tphcm.gov.vn
120.72.116.91,tphcm.gov.vn
120.72.116.95,bando.tphcm.gov.vn
120.72.116.95,hatangdothi.tphcm.gov.vn
120.72.116.95,bando.tphcm.gov.vn
120.72.116.100,tphcm.gov.vn
120.72.116.101,tphcm.gov.vn
120.72.116.113,baocao.ict-hcm.gov.vn
120.72.116.108,hochiminhcity.gov.vn
120.72.116.113,baocao.ict-hcm.gov.vn
120.72.116.115,adapter-motcuadatdai.tphcm.gov.vn
120.72.116.117,smartkiosk-binhtan.tphcm.gov.vn
120.72.116.117,tphcm.gov.vn
120.72.116.119,hochiminhcity.gov.vn
120.72.116.119,quyhoach-quan9.hochiminhcity.gov.vn
120.72.116.119,quyhoach-quan8.hochiminhcity.gov.vn
120.72.116.121,cas.ict-hcm.gov.vn
120.72.116.121,ict-hcm.gov.vn
120.72.116.123,tphcm.gov.vn
120.72.116.126,tphcm.gov.vn
120.72.116.134,ict-hcm.gov.vn
120.72.116.134,tthc.ict-hcm.gov.vn
120.72.116.134,tthc.ict-hcm.gov.vn
120.72.116.136,quan7.tphcm.gov.vn
120.72.116.136,tphcm.gov.vn
120.72.116.144,investment.hochiminhcity.gov.vn
120.72.116.145,kythuat.tphcm.gov.vn
120.72.116.145,api.tphcm.gov.vn
120.72.116.145,kythuat.tphcm.gov.vn
120.72.116.145,tphcm.gov.vn
120.72.116.146,tphcm.gov.vn
120.72.116.147,cas.tphcm.gov.vn
120.72.116.147,dangnhap.tphcm.gov.vn
120.72.116.147,hcmpass.tphcm.gov.vn
120.72.116.148,pay.tphcm.gov.vn
120.72.116.148,thanhtoan.tphcm.gov.vn
120.72.116.150,hcmpass.hochiminhcity.gov.vn
120.72.116.150,hochiminhcity.gov.vn
120.72.116.151,tphcm.gov.vn
120.72.116.152,vpdt-gtdt.tphcm.gov.vn
120.72.116.161,tphcm.gov.vn
120.72.116.170,vpdt-snv.tphcm.gov.vn
120.72.116.170,tphcm.gov.vn
120.72.116.170,vpdt-snv.tphcm.gov.vn
120.72.116.172,tphcm.gov.vn
120.72.116.175,tphcm.gov.vn
120.72.116.176,tphcm.gov.vn
120.72.116.179,hcmpass-test.tphcm.gov.vn
120.72.116.179,tphcm.gov.vn
120.72.116.183,soxaydungtructuyen.hochiminhcity.gov.vn
120.72.116.183,hochiminhcity.gov.vn
120.72.116.184,sct.tphcm.gov.vn
120.72.116.184,tphcm.gov.vn
120.72.116.184,vpdt-sct.tphcm.gov.vn
120.72.116.194,tphcm.gov.vn
120.72.116.196,dichvucong-binhthanh.hochiminhcity.gov.vn
120.72.116.196,tphcm.gov.vn
120.72.116.188,tphcm.gov.vn
120.72.116.204,sqhkt-qlqh.tphcm.gov.vn
120.72.116.204,tphcm.gov.vn
120.72.116.205,qlvb-quan11.tphcm.gov.vn
120.72.116.218,qlvb-sxd.tphcm.gov.vn
120.72.116.205,tphcm.gov.vn
120.72.116.220,hatanggiaothong.tphcm.gov.vn
120.72.116.221,tphcm.gov.vn
120.72.116.220,tphcm.gov.vn
120.72.116.222,qlvb-vpdk.tphcm.gov.vn
120.72.116.222,tphcm.gov.vn
120.72.116.227,tphcm.gov.vn
120.72.116.235,vpdt-sodulich.tphcm.gov.vn
120.72.116.235,tphcm.gov.vn
120.72.116.223,qlvb-hids.tphcm.gov.vn
120.72.116.243,tphcm.gov.vn
120.72.117.17,egov.hochiminhcity.gov.vn
120.72.116.241,tphcm.gov.vn
