ip_address,domain
184.168.114.223,vbos.gov.vu
188.114.96.0,www.immigration.gov.vu
188.114.96.1,www.immigration.gov.vu
113.21.119.2,mail.telecomregulator.gov.vu
113.21.126.38,telecomregulator.gov.vu
113.21.126.38,www.telecomregulator.gov.vu
54.66.211.67,ftp.vmgd.gov.vu
54.66.211.67,ftp.vmgd.gov.vu
54.66.211.67,ftp.vmgd.gov.vu
188.114.96.3,www.immigration.gov.vu
54.151.160.218,uat.reporting.fiu.gov.vu
188.114.96.3,immigration.gov.vu
188.114.96.3,www.immigration.gov.vu
188.114.96.7,immigration.gov.vu
188.114.96.8,immigration.gov.vu
180.222.210.79,mail1.telecomregulator.gov.vu
216.239.32.21,vanclimatefutures.gov.vu
216.239.32.21,vanclimatefutures.gov.vu
188.114.97.0,www.immigration.gov.vu
216.239.34.21,vanclimatefutures.gov.vu
216.239.34.21,vanclimatefutures.gov.vu
216.239.36.21,vanclimatefutures.gov.vu
216.239.36.21,vanclimatefutures.gov.vu
54.251.41.224,uat.plato.fiu.gov.vu
54.255.36.182,reporting.fiu.gov.vu
188.114.97.1,www.immigration.gov.vu
72.249.30.164,ura.gov.vu
72.249.49.224,propertytax.pvmc.gov.vu
72.249.49.224,pvmc.gov.vu
216.239.38.21,vanclimatefutures.gov.vu
216.239.38.21,vanclimatefutures.gov.vu
52.74.133.69,plato.fiu.gov.vu
52.76.73.103,plato.fiu.gov.vu
188.114.97.3,www.immigration.gov.vu
188.114.97.3,www.immigration.gov.vu
188.114.97.3,immigration.gov.vu
13.75.198.80,mdes.doft.gov.vu
13.75.198.80,mdes.doft.gov.vu
188.114.97.7,immigration.gov.vu
188.114.97.8,immigration.gov.vu
13.228.244.133,plato.fiu.gov.vu
13.236.210.20,origin.content.vmgd.gov.vu
13.236.210.20,origin.content.vmgd.gov.vu
13.236.210.20,origin.content.vmgd.gov.vu
104.21.8.100,gov.vu
194.150.210.30,mail.vanuatu.gov.vu
3.13.136.37,propertytax.pvmc.gov.vu
3.13.136.37,pvmc.gov.vu
3.13.136.37,propertytax.pvmc.gov.vu
3.13.136.37,pvmc.gov.vu
3.13.136.37,propertytax.pvmc.gov.vu
3.13.136.37,pvmc.gov.vu
18.116.171.3,pvcc.gov.vu
18.136.62.53,uat.reporting.fiu.gov.vu
18.138.136.163,reporting.fiu.gov.vu
18.140.120.178,plato.fiu.gov.vu
18.143.80.29,reporting.fiu.gov.vu
202.80.33.51,vanuatustatistics.gov.vu
202.80.43.22,dolphin.dpa.gov.vu
202.80.43.97,mx.ura.gov.vu
202.80.43.108,mail.pvmc.gov.vu
202.80.43.108,mail.pvmc.gov.vu
202.80.43.108,www.mail.pvmc.gov.vu
202.80.46.45,map.vanuatu.gov.vu
202.80.46.80,rbv.gov.vu
202.80.46.80,rbv.gov.vu
202.80.46.81,numismatic.rbv.gov.vu
202.80.46.81,rbv.gov.vu
202.80.46.82,rbv.gov.vu
202.80.46.83,rbv.gov.vu
202.80.46.187,mail.rbv.gov.vu
202.80.46.187,webmail.rbv.gov.vu
202.80.46.187,autodiscover.rbv.gov.vu
202.80.46.187,rbv.gov.vu
202.80.46.187,webmail.rbv.gov.vu
202.80.46.187,mail.rbv.gov.vu
202.80.46.189,mail.rbv.gov.vu
202.80.46.190,mail.rbv.gov.vu
202.80.46.210,dolphin.dpa.gov.vu
103.7.197.30,stream.parliament.gov.vu
103.7.197.13,videoconf.gov.vu
103.7.197.53,mail.vmgd.gov.vu
103.7.197.58,smartalert.vmgd.gov.vu
103.7.197.53,mail.vmgd.gov.vu
103.7.197.58,smartalert.vmgd.gov.vu
103.7.197.66,psc.gov.vu
103.7.197.66,biosecurity.gov.vu
103.7.197.66,events.gov.vu
103.7.197.66,agriculture.gov.vu
103.7.197.66,fisheries.gov.vu
103.7.197.66,fisheries-gos.gov.vu
103.7.197.66,lawcommission.gov.vu
103.7.197.66,psc.gov.vu
103.7.197.66,ndmo.gov.vu
103.7.197.66,rti.gov.vu
103.7.197.66,vnso.gov.vu
103.7.197.67,mail.ogcio.gov.vu
103.7.197.67,mail1.vanuatu.gov.vu
103.7.197.69,secure.gov.vu
103.7.197.66,tourism.gov.vu
103.7.197.68,statelaw.gov.vu
103.7.197.71,vanuatu.gov.vu
103.7.197.75,online.vanipo.gov.vu
103.7.197.71,vanuatu.gov.vu
103.7.197.76,admin-tradeportal.gov.vu
