ip_address,domain
110.5.112.58,suesuega.sbs.gov.ws
110.5.112.58,suesuega.sbs.gov.ws
110.5.112.59,metadata.sbs.gov.ws
110.5.112.59,redatam.sbs.gov.ws
110.5.112.60,www.sbs.gov.ws
110.5.112.75,mail.revenue.gov.ws
110.5.112.75,mail.revenue.gov.ws
110.5.112.76,asyworld.revenue.gov.ws
110.5.112.76,asyworld.revenue.gov.ws
110.5.112.76,revenue.gov.ws
110.5.112.78,set.revenue.gov.ws
110.5.112.78,set.revenue.gov.ws
110.5.112.84,mail.mcit.gov.ws
110.5.112.84,mail.mcit.gov.ws
110.5.112.117,alert.samet.gov.ws
110.5.112.117,mhews.samet.gov.ws
110.5.112.117,smartmet.samet.gov.ws
110.5.112.146,vpn.mof.gov.ws
110.5.112.147,mail.mof.gov.ws
110.5.112.146,mof.gov.ws
110.5.112.148,mof.gov.ws
110.5.112.178,mfat.gov.ws
110.5.113.67,mec.gov.ws
110.5.113.67,mesc.gov.ws
110.5.113.225,vpn.revenue.gov.ws
110.5.113.226,staging.tims.revenue.gov.ws
110.5.113.226,tap.staging.tims.revenue.gov.ws
110.5.113.226,vsdc.staging.tims.revenue.gov.ws
110.5.113.226,staging.tims.revenue.gov.ws
110.5.113.226,tap.staging.tims.revenue.gov.ws
110.5.113.226,ra.staging.tims.revenue.gov.ws
110.5.113.227,vsdc.tims.revenue.gov.ws
110.5.113.227,vsdc.tims.revenue.gov.ws
110.5.113.228,svc.tims.revenue.gov.ws
110.5.113.228,vsdc.tims.revenue.gov.ws
110.5.113.229,vsdc.tims.revenue.gov.ws
110.5.113.229,vsdc.tims.revenue.gov.ws
110.5.113.230,support.tims.revenue.gov.ws
110.5.113.230,tap.tims.revenue.gov.ws
110.5.113.230,api.tims.revenue.gov.ws
110.5.113.230,tims.revenue.gov.ws
110.5.113.226,vsdc.staging.tims.revenue.gov.ws
110.5.113.230,ra.tims.revenue.gov.ws
110.5.113.230,support.tims.revenue.gov.ws
110.5.113.230,tap.tims.revenue.gov.ws
110.5.113.230,authapi.tims.revenue.gov.ws
110.5.113.230,tims.revenue.gov.ws
110.5.113.230,vsdc.tims.revenue.gov.ws
110.5.113.230,ui.tims.revenue.gov.ws
110.5.113.231,api.tims.revenue.gov.ws
110.5.113.231,ra.tims.revenue.gov.ws
114.142.162.89,dcef.gov.ws
114.142.162.89,www.dcef.gov.ws
108.160.156.140,mfat.gov.ws
108.160.156.140,www.mfat.gov.ws
108.160.156.140,mfat.gov.ws
108.160.156.140,www.mfat.gov.ws
108.160.156.144,mpe.gov.ws
108.160.156.144,www.mpe.gov.ws
108.160.156.144,mpe.gov.ws
108.160.156.144,www.mpe.gov.ws
35.213.153.15,vcp.gov.ws
35.213.213.170,acc.gov.ws
35.213.213.170,www.acc.gov.ws
35.213.213.170,audit.gov.ws
35.213.213.170,www.audit.gov.ws
35.213.213.170,leep.gov.ws
35.213.213.170,mof.gov.ws
35.213.213.170,staging2.mof.gov.ws
35.213.213.170,www.mof.gov.ws
35.213.213.170,mwti.gov.ws
35.213.213.170,www.mwti.gov.ws
35.213.213.170,mygov.gov.ws
35.213.213.170,www.mygov.gov.ws
35.213.213.170,www.psc.gov.ws
35.213.213.170,revenue.gov.ws
35.213.213.170,www.revenue.gov.ws
35.213.213.170,psc.gov.ws
35.213.213.170,acc.gov.ws
35.213.213.170,acc.gov.ws
35.213.213.170,www.acc.gov.ws
35.213.213.170,audit.gov.ws
35.213.213.170,www.audit.gov.ws
35.213.213.170,leep.gov.ws
35.213.213.170,leep.gov.ws
35.213.213.170,mof.gov.ws
35.213.213.170,mwti.gov.ws
35.213.213.170,staging2.mof.gov.ws
