ip_address,domain
87.238.208.6,mail1.rks-gov.net
87.238.208.7,mail2.rks-gov.net
87.238.208.7,mail2.rks-gov.net
87.238.208.8,mail3.rks-gov.net
87.238.208.8,mail3.rks-gov.net
87.238.208.16,mail4.rks-gov.net
87.238.208.16,mail4.rks-gov.net
87.238.208.17,mail5.rks-gov.net
87.238.208.17,mail5.rks-gov.net
87.238.208.18,mail6.rks-gov.net
87.238.208.18,mail6.rks-gov.net
87.254.11.13,mail2.rks-gov.net
87.254.11.14,mail1.rks-gov.net
88.216.34.13,mail2.rks-gov.net
88.216.34.14,mail1.rks-gov.net
82.114.76.6,mail1.rks-gov.net
82.114.76.8,mail3.rks-gov.net
82.114.76.9,mail4.rks-gov.net
82.114.76.7,mail2.rks-gov.net
82.114.76.120,rks-gov.net
91.239.145.6,mail1.rks-gov.net
91.239.145.7,mail2.rks-gov.net
91.239.145.8,mail3.rks-gov.net
91.239.145.8,mail3.rks-gov.net
91.239.145.9,rks-gov.net
91.239.145.10,ns1.rks-gov.net
91.239.145.10,ns1.rks-gov.net
91.239.145.29,environmentaldata.rks-gov.net
91.239.145.29,rks-gov.net
91.239.145.32,rks-gov.net
91.239.145.32,siktk-online.rks-gov.net
91.239.145.37,rks-gov.net
91.239.145.39,mobileservice.rks-gov.net
91.239.145.43,arc.rks-gov.net
91.239.145.45,kopos.rks-gov.net
91.239.145.45,rks-gov.net
91.239.145.50,kosovoairquality.rks-gov.net
91.239.145.51,godata.rks-gov.net
91.239.145.53,e-pasuria.rks-gov.net
91.239.145.57,ewrmn.rks-gov.net
91.239.145.80,e-prokurimi.rks-gov.net
91.239.145.81,web1.rks-gov.net
91.239.145.82,web2.rks-gov.net
91.239.145.82,web2.rks-gov.net
91.239.145.83,web3.rks-gov.net
91.239.145.83,web3.rks-gov.net
91.239.145.83,rks-gov.net
91.239.145.83,web3.rks-gov.net
91.239.145.85,web5.rks-gov.net
91.239.145.85,rks-gov.net
91.239.145.87,oik.rks-gov.net
91.239.145.87,web7.rks-gov.net
91.239.145.88,ame.rks-gov.net
91.239.145.88,web8.rks-gov.net
91.239.145.88,ekosova.rks-gov.net
91.239.145.88,web8.rks-gov.net
91.239.145.89,web9.rks-gov.net
91.239.145.89,rks-gov.net
91.239.145.89,web9.rks-gov.net
91.239.145.89,web9.rks-gov.net
91.239.145.89,www.rks-gov.net
91.239.145.90,www.rks-gov.net
91.239.145.95,mail.rks-gov.net
91.239.145.95,mail.rks-gov.net
91.239.145.95,rks-gov.net
91.239.145.210,ns2.rks-gov.net
91.239.145.89,rks-gov.net
185.67.176.251,mail5.rks-gov.net
185.67.176.252,mail6.rks-gov.net
