ip_address,domain
108.166.190.179,yemenexam.gov.ye
35.213.191.75,coca.gov.ye
35.214.162.186,apps.mot.gov.ye
23.62.61.36,innovation-record.hasti.gov.ye
66.45.245.250,mail.tax.gov.ye
66.45.245.250,tax.gov.ye
66.45.245.250,mail.tax.gov.ye
66.45.245.250,tax.gov.ye
66.96.145.128,amlcft.gov.ye
66.96.145.128,amlcft.gov.ye
66.96.147.115,mail.mpwhsanaa.gov.ye
66.96.147.115,mpwhsanaa.gov.ye
66.96.147.115,mail.sanaampwh.gov.ye
66.96.147.115,sanaampwh.gov.ye
10.97.10.200,www.meoh.gov.ye
10.100.100.2,test.area.gov.ye
10.100.100.2,webmail.cra.gov.ye
10.100.100.2,galsub.gov.ye
10.100.100.2,mail.galsub.gov.ye
10.100.100.2,www.meoh.gov.ye
10.100.100.2,mocsi3.mocsi.gov.ye
10.100.100.2,mocsi4.mocsi.gov.ye
10.100.100.2,mocsi5.mocsi.gov.ye
10.100.100.2,webmail.mot.gov.ye
10.100.100.2,alqdhaeih.moj.gov.ye
10.100.100.2,www.mail.mtit.gov.ye
10.100.100.2,cpcalendars.topresidency.gov.ye
10.100.100.2,cpcontacts.topresidency.gov.ye
10.100.100.2,traffichqisql2.trye.gov.ye
10.100.100.2,mail.yt.gov.ye
10.100.100.2,www.yt.gov.ye
192.145.233.45,mail.cama.gov.ye
192.145.233.48,cama.gov.ye
192.145.233.48,www.cama.gov.ye
65.181.111.164,tr-sanaa.gov.ye
65.181.111.164,www.portal.tr-sanaa.gov.ye
199.102.48.4,hadhramout.gov.ye
199.102.48.4,hdgate.hadhramout.gov.ye
199.102.48.4,www.hadhramout.gov.ye
83.149.50.66,www.authmohe.gov.ye
208.91.112.55,sez.gov.ye
208.97.155.53,meoh.gov.ye
208.98.35.117,hadhramout.gov.ye
208.98.35.117,www.hadhramout.gov.ye
208.98.35.117,hadhramout.gov.ye
208.98.35.117,www.hadhramout.gov.ye
208.98.35.117,hadhramout.gov.ye
208.98.35.117,www.hadhramout.gov.ye
64.20.51.234,srs-mohe.gov.ye
64.20.51.234,www.darsys.srs-mohe.gov.ye
64.20.51.234,www.dsuyeeducation.srs-mohe.gov.ye
64.20.51.234,www.savetime.srs-mohe.gov.ye
64.20.51.234,www.yadontabney.srs-mohe.gov.ye
204.93.168.141,visionofedu.gov.ye
204.93.168.141,mail.visionofedu.gov.ye
82.114.162.10,mfw.gov.ye
82.114.162.10,tourism.gov.ye
82.114.162.10,manuscripts.gov.ye
82.114.162.10,bdic.gov.ye
82.114.162.10,garwsp.gov.ye
82.114.162.10,gscp.gov.ye
82.114.162.10,hod.gov.ye
82.114.162.10,www.hod.gov.ye
82.114.162.10,investinyemen.gov.ye
82.114.162.10,legal-affairs.gov.ye
82.114.162.10,www.legal-affairs.gov.ye
82.114.162.10,mfw.gov.ye
82.114.162.10,www.mfw.gov.ye
82.114.162.10,mohe.gov.ye
82.114.162.10,www.mohe.gov.ye
82.114.162.10,molayemen.gov.ye
82.114.162.10,www.molayemen.gov.ye
82.114.162.10,mpic-aden.gov.ye
82.114.162.10,nip.gov.ye
82.114.162.10,twslc.gov.ye
82.114.162.10,yemen-environment.gov.ye
82.114.162.10,yementourism.gov.ye
82.114.162.10,ym-idc.gov.ye
82.114.162.12,agoye.gov.ye
82.114.162.12,admin.cra.gov.ye
82.114.162.12,cra.gov.ye
82.114.162.12,ghosanaa.gov.ye
82.114.162.12,pfmod.gov.ye
82.114.162.12,staticmohe.gov.ye
82.114.162.12,con.ygc.gov.ye
82.114.162.12,ygc.gov.ye
82.114.162.12,admin.cra.gov.ye
82.114.162.12,cra.gov.ye
82.114.162.12,pfmod.gov.ye
82.114.162.12,staticmohe.gov.ye
82.114.162.12,con.ygc.gov.ye
82.114.162.12,ygc.gov.ye
82.114.162.12,con.ygc.gov.ye
82.114.162.18,gasmed.gov.ye
82.114.162.18,gasmed.gov.ye
82.114.162.19,afy.gov.ye
82.114.162.19,aghhajjah.gov.ye
82.114.162.19,web.aghhajjah.gov.ye
82.114.162.19,journal.area.gov.ye
82.114.162.19,area.gov.ye
82.114.162.19,ath.gov.ye
82.114.162.19,authmohe.gov.ye
82.114.162.19,capitalsanaa.gov.ye
82.114.162.19,cleaningfund.gov.ye
82.114.162.19,cso.gov.ye
82.114.162.19,gia.gov.ye
82.114.162.19,gspr.gov.ye
82.114.162.19,jia.gov.ye
82.114.162.19,ltaa.gov.ye
82.114.162.19,e.mocsi.gov.ye
82.114.162.19,mafwr.gov.ye
82.114.162.19,mocsi.gov.ye
82.114.162.19,portal.mocsi.gov.ye
82.114.162.19,s.mocsi.gov.ye
82.114.162.19,moee.gov.ye
82.114.162.19,mof.gov.ye
82.114.162.19,mofa.gov.ye
82.114.162.19,mom.gov.ye
82.114.162.19,mosal.gov.ye
82.114.162.19,mot.gov.ye
82.114.162.19,msdc.gov.ye
82.114.162.19,navy.gov.ye
82.114.162.19,nccbds.gov.ye
82.114.162.19,studies.nic.gov.ye
82.114.162.19,nic.gov.ye
82.114.162.19,mail.pec.gov.ye
82.114.162.19,pec.gov.ye
82.114.162.19,www.pec.gov.ye
82.114.162.19,rp.ptc.gov.ye
82.114.162.19,sadah.gov.ye
82.114.162.19,shoora.gov.ye
82.114.162.19,slo.gov.ye
82.114.162.19,smc.gov.ye
82.114.162.19,test.smc.gov.ye
82.114.162.19,snacc.gov.ye
82.114.162.19,tmgh.gov.ye
82.114.162.19,www.tmgh.gov.ye
82.114.162.19,trye.gov.ye
82.114.162.19,yemenpolice-ac.gov.ye
82.114.162.19,yemenvision.gov.ye
82.114.162.19,yiig.gov.ye
82.114.162.19,moit.yipo.gov.ye
82.114.162.19,yipo.gov.ye
82.114.162.19,ypo.gov.ye
82.114.162.19,yms.gov.ye
82.114.162.19,area.gov.ye
82.114.162.19,authmohe.gov.ye
82.114.162.19,capitalsanaa.gov.ye
82.114.162.19,cleaningfund.gov.ye
82.114.162.19,cso.gov.ye
82.114.162.19,jia.gov.ye
82.114.162.19,ltaa.gov.ye
82.114.162.19,e.mocsi.gov.ye
82.114.162.19,mocsi.gov.ye
82.114.162.19,portal.mocsi.gov.ye
82.114.162.19,s.mocsi.gov.ye
82.114.162.19,mofa.gov.ye
82.114.162.19,mof.gov.ye
82.114.162.19,moee.gov.ye
82.114.162.19,mot.gov.ye
82.114.162.19,mom.gov.ye
82.114.162.19,msdc.gov.ye
82.114.162.19,mys.gov.ye
82.114.162.19,nccbds.gov.ye
82.114.162.19,navy.gov.ye
82.114.162.19,nic.gov.ye
82.114.162.19,pec.gov.ye
82.114.162.19,rp.ptc.gov.ye
82.114.162.19,www.pec.gov.ye
82.114.162.19,studies.nic.gov.ye
82.114.162.19,sadah.gov.ye
82.114.162.19,shoora.gov.ye
82.114.162.19,slo.gov.ye
82.114.162.19,smc.gov.ye
82.114.162.19,snacc.gov.ye
82.114.162.19,staticmohe.gov.ye
82.114.162.19,srsps-mohe.gov.ye
82.114.162.19,tmgh.gov.ye
82.114.162.19,www.tmgh.gov.ye
82.114.162.19,yemenpolice-ac.gov.ye
82.114.162.19,yemenpolice-ac.gov.ye
82.114.162.19,yiig.gov.ye
82.114.162.19,moit.yipo.gov.ye
82.114.162.19,yipo.gov.ye
82.114.162.19,yms.gov.ye
82.114.162.19,ypo.gov.ye
82.114.162.21,galsup.gov.ye
82.114.162.21,gcsbpp.gov.ye
82.114.162.21,goam.gov.ye
82.114.162.21,almjalh.moj.gov.ye
82.114.162.21,moj.gov.ye
82.114.162.21,hji.moj.gov.ye
82.114.162.21,moia.gov.ye
82.114.162.21,mtevt.gov.ye
82.114.162.21,mtit.gov.ye
82.114.162.21,ibbwslc.mwe.gov.ye
82.114.162.21,mwe.gov.ye
82.114.162.21,nwrayemen.gov.ye
82.114.162.21,scer.gov.ye
82.114.162.21,sfp.gov.ye
82.114.162.21,shohadaa.gov.ye
82.114.162.21,srf.gov.ye
82.114.162.21,sjcyemen.gov.ye
82.114.162.21,yemenparliament.gov.ye
82.114.162.21,yrsgisc.gov.ye
82.114.162.21,gcsbpp.gov.ye
82.114.162.21,goam.gov.ye
82.114.162.21,almjalh.moj.gov.ye
82.114.162.21,moe.gov.ye
82.114.162.21,moj.gov.ye
82.114.162.21,almjalh.moj.gov.ye
82.114.162.21,moj.gov.ye
82.114.162.21,nwrayemen.gov.ye
82.114.162.21,shohadaa.gov.ye
82.114.162.21,shohadaa.gov.ye
82.114.162.21,sjcyemen.gov.ye
82.114.162.21,srf.gov.ye
82.114.162.21,yemenparliament.gov.ye
82.114.162.21,yrsgisc.gov.ye
82.114.162.23,yemenparliament.gov.ye
82.114.162.35,mail.mtit.gov.ye
82.114.162.35,mail.acf.gov.ye
82.114.162.35,mail.aghhajjah.gov.ye
82.114.162.35,mail.agoye.gov.ye
