ip_address,domain
41.0.5.49,nketoanalm.gov.za
41.0.5.66,mega.gov.za
41.0.5.66,www.mega.gov.za
41.0.5.66,mega.gov.za
41.0.5.98,appwebservices.capetown.gov.za
41.0.5.98,appwebservices.capetown.gov.za
41.0.5.98,appwebservices.capetown.gov.za
41.0.5.114,appwebservicesqa.capetown.gov.za
41.0.5.139,presidency.gov.za
41.0.5.191,elearning.palama.gov.za
41.0.5.180,www.remcommission.gov.za
41.0.24.32,mpuleg.gov.za
41.0.24.32,www.mpuleg.gov.za
41.0.24.32,mpuleg.gov.za
41.0.24.32,www.mpuleg.gov.za
41.0.24.5,westonaria.gov.za
41.0.24.5,www.westonaria.gov.za
41.0.24.4,www.mega.gov.za
41.0.24.4,mega.gov.za
41.0.26.131,m.sa2010.gov.za
41.0.37.187,mail.mnquma.gov.za
41.0.74.135,legacy.gauteng.gov.za
41.0.80.186,andm.gov.za
41.0.80.190,andm.gov.za
41.0.91.202,int2api.sars.gov.za
41.0.91.202,int2api.sars.gov.za
41.0.91.203,int2apiqa.sars.gov.za
41.0.94.216,gems.gov.za
41.0.94.216,hcp.gems.gov.za
41.0.94.219,sts.gems.gov.za
41.0.94.220,gems.gov.za
41.0.94.223,eforms.gems.gov.za
41.0.94.223,gems.gov.za
41.0.94.223,member.gems.gov.za
41.0.94.240,gems.gov.za
41.0.94.240,www.gems.gov.za
41.0.94.240,www.gems.gov.za
41.0.94.241,covid19.gems.gov.za
41.0.94.241,gems.gov.za
41.0.94.241,www.gems.gov.za
41.0.94.241,www.symposium.gems.gov.za
41.0.94.240,gems.gov.za
41.0.94.242,gems.gov.za
41.0.94.242,event.gems.gov.za
41.0.107.108,support.gsibande.gov.za
41.0.203.213,NYDA.GOV.ZA
41.0.203.214,NYDA.GOV.ZA
41.0.215.101,webvpn1.sars.gov.za
41.0.215.101,webvpn1.sars.gov.za
41.0.215.102,webvpn5.sars.gov.za
41.0.215.102,webvpn5.sars.gov.za
41.10.240.124,cms.ftlm.gov.za
41.10.240.124,cms.ftlm.gov.za
41.10.241.212,limpopoleg.gov.za
41.10.241.212,www.limpopoleg.gov.za
41.21.129.117,Autodiscover.gsibande.gov.za
41.21.129.117,mail.gsibande.gov.za
41.21.129.118,gsibande.gov.za
41.21.136.38,portal-samradonline.dmre.gov.za
41.21.136.39,dmre.gov.za
41.21.175.5,smtp.parliament.gov.za
41.21.184.109,api.signinghub.limpopo.gov.za
41.21.184.109,m.signinghub.limpopo.gov.za
41.21.184.109,signinghub.limpopo.gov.za
41.21.184.109,api.signinghub.limpopo.gov.za
41.21.184.109,m.signinghub.limpopo.gov.za
41.21.184.109,signinghub.limpopo.gov.za
41.21.184.109,api.signinghub.limpopo.gov.za
