ip_address,domain
41.60.1.74,mcaz.gov.zm
41.60.14.54,financial.helsb.gov.zm
41.60.14.54,portal.helsb.gov.zm
41.60.192.171,ee.kobotoolbox.zispis.gov.zm
41.60.192.171,kf.kobotoolbox.zispis.gov.zm
41.60.192.171,kc.kobotoolbox.zispis.gov.zm
41.60.192.171,ee.kobotoolbox.zispis.gov.zm
41.60.192.171,kf.kobotoolbox.zispis.gov.zm
41.60.192.171,ee.kobotoolbox.zispis.gov.zm
41.60.192.171,kc.kobotoolbox.zispis.gov.zm
41.60.192.171,kc.kobotoolbox.zispis.gov.zm
41.60.192.171,kf.kobotoolbox.zispis.gov.zm
41.63.0.22,www.zamstats.gov.zm
41.63.0.22,www.zamstats.gov.zm
41.63.0.22,2020-iaos-isi.zamstats.gov.zm
41.63.0.22,census.zamstats.gov.zm
41.63.0.22,www.zamstats.gov.zm
41.63.62.14,cfmg.mgee.gov.zm
41.63.62.14,cfmg.mgee.gov.zm
41.63.62.14,cfmg.mgee.gov.zm
41.72.96.58,gsc.grz.gov.zm
41.72.97.15,roads-mail01.roads.gov.zm
41.72.97.15,mail.roads.gov.zm
41.72.97.15,roads.gov.zm
41.72.97.15,rda-ex1.roads.gov.zm
41.72.99.87,www.psc.gov.zm
41.72.99.87,www.psc.gov.zm
41.72.99.142,cpanel.lcc.gov.zm
41.72.99.142,webmail.lcc.gov.zm
41.72.99.142,cpanel.lpho.gov.zm
41.72.99.142,webmail.lpho.gov.zm
41.72.99.142,lpho.gov.zm
41.72.99.142,nsg.gov.zm
41.72.99.142,www.tsc.gov.zm
41.72.99.143,tevetbursary.mohe.gov.zm
41.72.99.148,www.lusakaprovince.gov.zm
41.72.99.149,lcc.gov.zm
41.72.99.149,www.mgcd.gov.zm
41.72.99.149,www.luapulaprovince.gov.zm
41.72.99.149,psmd.gov.zm
41.72.99.149,www.opppi.gov.zm
41.72.99.149,www.psmd.gov.zm
41.72.99.149,www.roads.gov.zm
41.72.99.150,www.zambia.gov.zm
41.72.99.150,www.zambia.gov.zm
41.72.99.151,lmuth.gov.zm
41.72.99.151,cpanel.lmuth.gov.zm
41.72.99.151,www.lmuth.gov.zm
41.72.99.151,cpanel.msmc.gov.zm
41.72.99.151,msmc.gov.zm
41.72.99.151,www.msmc.gov.zm
41.72.99.151,cpanel.neac.gov.zm
41.72.99.151,mail.neac.gov.zm
41.72.99.151,neac.gov.zm
41.72.99.151,webmail.neac.gov.zm
41.72.99.151,www.neac.gov.zm
41.72.99.151,cpanel.uth.gov.zm
41.72.99.151,www.uth.gov.zm
41.72.99.151,mail.uth.gov.zm
41.72.99.151,cpanel.lmuth.gov.zm
41.72.99.151,lmuth.gov.zm
41.72.99.151,www.lmuth.gov.zm
41.72.99.151,msmc.gov.zm
41.72.99.151,www.msmc.gov.zm
41.72.99.151,cpanel.msmc.gov.zm
41.72.99.151,cpanel.neac.gov.zm
41.72.99.151,mail.neac.gov.zm
41.72.99.151,neac.gov.zm
41.72.99.151,webmail.neac.gov.zm
41.72.99.151,www.neac.gov.zm
41.72.99.151,www.uth.gov.zm
41.72.99.151,cpanel.uth.gov.zm
41.72.99.155,www.zambiapolice.gov.zm
41.72.99.155,www.zambiapolice.gov.zm
41.72.99.156,www.mlnrep.gov.zm
41.72.99.156,www.mlnrep.gov.zm
41.72.99.158,www.mewd.gov.zm
41.72.99.158,www.mewd.gov.zm
41.72.100.177,mailhost.mcti.gov.zm
41.72.100.177,mcti.gov.zm
41.72.101.185,rbfzambia.gov.zm
41.72.101.185,www.rbfzambia.gov.zm
41.72.103.29,mail.agriculture.gov.zm
41.72.103.65,win-mlss-server.mlss.gov.zm
41.72.103.213,www.zomis.mcdmch.gov.zm
41.72.103.246,cbs-sp.moh.gov.zm
41.72.103.246,cbs-sp.moh.gov.zm
41.72.103.246,cbs.moh.gov.zm
41.72.104.85,gidd.mgcd.gov.zm
41.72.104.85,gidd.gender.gov.zm
41.72.105.74,lync.mofnp.gov.zm
41.72.105.21,www.nkwazi.gov.zm
41.72.105.74,mail.mofnp.gov.zm
41.72.106.202,lcc.gov.zm
41.72.106.202,mail.lcc.gov.zm
41.72.107.46,mail.znbts.gov.zm
41.72.108.130,kgsmis.edu.gov.zm
41.72.108.130,kgsmis.edu.gov.zm
41.72.108.130,www.kgsmis.edu.gov.zm
41.72.108.130,mail.mibs.gov.zm
41.72.108.146,agriculture.gov.zm
41.72.109.106,nkwazi.gov.zm
41.72.109.162,owa.nkwazi.gov.zm
41.72.109.174,mail.moe.gov.zm
41.72.109.174,moeserv3.moe.gov.zm
41.72.110.38,www.zepris.dmmu-ovp.gov.zm
41.72.110.66,frmt.grz.gov.zm
41.72.110.82,reports.moh.gov.zm
41.72.110.82,dhis.zeir.moh.gov.zm
41.72.110.82,ehsa.moh.gov.zm
41.72.110.82,ihris.moh.gov.zm
41.72.110.82,help.smartcare.moh.gov.zm
41.72.110.82,metrics.zeir.moh.gov.zm
41.72.110.82,nav.moh.gov.zm
41.72.110.82,mvacc.moh.gov.zm
41.72.110.82,nhfc.moh.gov.zm
41.72.110.82,openmrs.zeir.moh.gov.zm
41.72.110.82,prtg.moh.gov.zm
41.72.110.82,tunemetest.moh.gov.zm
41.72.110.82,report.zeir.moh.gov.zm
41.72.110.82,zthd.moh.gov.zm
41.72.110.82,ehsa.moh.gov.zm
41.72.110.82,help.smartcare.moh.gov.zm
41.72.110.82,dhis.zeir.moh.gov.zm
41.72.110.82,ihris.moh.gov.zm
41.72.110.82,metrics.zeir.moh.gov.zm
41.72.110.82,nhfc.moh.gov.zm
41.72.110.82,mvacc.moh.gov.zm
41.72.110.82,openmrs.zeir.moh.gov.zm
41.72.110.82,report.zeir.moh.gov.zm
41.72.110.82,nav.moh.gov.zm
41.72.110.82,prtg.moh.gov.zm
41.72.110.82,zthd.moh.gov.zm
41.72.110.82,dhis.zeir.moh.gov.zm
41.72.110.82,admanager.moh.gov.zm
41.72.110.82,ehsa.moh.gov.zm
41.72.110.82,dhis2.moh.gov.zm
