ip_address,domain
41.57.127.218,impilo-cbs.mohcc.gov.zw
41.57.127.218,impilo-staging-10.mohcc.gov.zw
41.57.127.218,impilo-staging-9.mohcc.gov.zw
41.57.127.218,landela.mohcc.gov.zw
41.57.127.218,phms.mohcc.gov.zw
41.57.127.218,mukova.mohcc.gov.zw
41.78.77.46,mail.potraz.gov.zw
41.78.77.162,www.zimeris.gov.zw
41.78.77.162,kctest.zimeris.gov.zw
41.78.77.162,minio.zimeris.gov.zw
41.78.77.162,kc.zimeris.gov.zw
41.78.77.162,registry.zimeris.gov.zw
41.78.77.162,repo.zimeris.gov.zw
41.78.77.162,www.zimeris.gov.zw
41.78.77.162,test.zimeris.gov.zw
41.79.188.54,evisa.gov.zw
41.79.188.54,www.evisa.gov.zw
41.173.36.71,evisa-api.gov.zw
41.173.36.71,evisa-api.gov.zw
41.173.36.71,evisa-api.gov.zw
41.220.21.170,mail.agriculture.gov.zw
41.220.21.170,mail.agritips365.gov.zw
41.220.21.171,www.zimbabweatexpo2025.gov.zw
41.220.21.171,zimbabweatexpo2025.gov.zw
41.220.21.171,www.agriculture.gov.zw
41.220.21.171,www.zimbabweatexpo2025.gov.zw
41.220.21.171,zimbabweatexpo2025.gov.zw
41.220.24.70,www.zimeris.gov.zw
41.220.24.70,kctest.zimeris.gov.zw
41.220.24.70,minio.zimeris.gov.zw
41.220.24.70,kc.zimeris.gov.zw
41.220.24.70,registry.zimeris.gov.zw
41.220.24.70,repo.zimeris.gov.zw
41.220.24.70,www.zimeris.gov.zw
41.220.24.70,test.zimeris.gov.zw
41.220.24.106,erecruitment.psc.gov.zw
41.220.24.106,erecruitment.psc.gov.zw
41.220.24.106,erecruitment.psc.gov.zw
41.220.25.22,mail.parlzim.gov.zw
41.220.26.15,agriculture.gov.zw
41.220.26.186,masvingocity.gov.zw
41.220.26.187,masvingocity.gov.zw
41.220.26.187,www.masvingocity.gov.zw
41.220.26.188,mail.masvingocity.gov.zw
41.220.27.84,api.esw.gov.zw
41.220.27.84,esw.gov.zw
41.220.27.84,keycloak.esw.gov.zw
41.220.27.84,api.esw.gov.zw
41.220.27.84,esw.gov.zw
41.220.27.84,keycloak.esw.gov.zw
41.220.27.84,api.esw.gov.zw
41.220.27.84,esw.gov.zw
41.220.27.84,keycloak.esw.gov.zw
41.220.29.218,mail.mofedpmu.gov.zw
41.220.30.130,pfms.gov.zw
41.220.30.130,pfms.gov.zw
41.220.30.130,cgu.pfms.gov.zw
41.220.30.130,cipz.pfms.gov.zw
41.220.30.130,paynow.pfms.gov.zw
41.220.30.130,pfms.gov.zw
41.220.30.130,www.pfms.gov.zw
41.220.30.130,zimeservices.pfms.gov.zw
41.220.30.246,pfms.gov.zw
41.221.144.2,mines.gov.zw
41.221.144.5,mines.gov.zw
41.221.144.12,www.attorneygeneral.gov.zw
41.221.144.12,parlzim.gov.zw
41.221.149.22,mail.parliament.gov.zw
41.221.149.22,mail.parliament.gov.zw
41.221.150.134,mail.pfms.gov.zw
